Code;Short name;Color;Icon;Details
775;Donetsk Regional State Administration;;;Donetsk Regional State Administration
776;Zhytomyr Regional State Administration;;;Zhytomyr Regional State Administration
777;Zakarpattia Regional State Administration;;;Zakarpattia Regional State Administration
778;Zaporizhzhya Regional State Administration;;;Zaporizhzhya Regional State Administration
779;Ivano-Frankivsk Regional State Administration;;;Ivano-Frankivsk Regional State Administration
780;Kyiv Regional State Administration;;;Kyiv Regional State Administration
781;Kirovohrad Regional State Administration;;;Kirovohrad Regional State Administration
782;Luhansk Regional State Administration;;;Luhansk Regional State Administration
783;Lviv Regional State Administration;;;Lviv Regional State Administration
784;Mykolaiv Regional State Administration;;;Mykolaiv Regional State Administration
785;Odessa Regional State Administration;;;Odessa Regional State Administration
786;Poltava Regional State Administration;;;Poltava Regional State Administration
787;Rivne Regional State Administration;;;Rivne Regional State Administration
788;Sumy Regional State Administration;;;Sumy Regional State Administration
789;Ternopil Regional State Administration;;;Ternopil Regional State Administration
790;Kharkiv Regional State Administration;;;Kharkiv Regional State Administration
791;Kherson Regional State Administration;;;Kherson Regional State Administration
792;Khmelnytsky Regional State Administration;;;Khmelnytsky Regional State Administration
793;Cherkasy Regional State Administration;;;Cherkasy Regional State Administration
794;Chernivtsi Regional State Administration;;;Chernivtsi Regional State Administration
795;Chernihiv Regional State Administration;;;Chernihiv Regional State Administration
797;Sevastopol Regional State Administration;;;Sevastopol Regional State Administration
868;State Service for Regulatory Policy & Entrepreneurship Development;;;State Service for Regulatory Policy & Entrepreneurship Development
