Код;Коротка назва;Колір;Іконка;Детальний опис
90216;Пільги багатодітним сім'ям на придбання палива;;;Пільги багатодітним сім'ям на придбання твердого палива та скрапленого газу
90302;Допомога у зв'язку з вагітністю і пологами;;;Допомога у зв'язку з вагітністю і пологами
90303;Допомога на догляд за дитиною віком до 3 років;;;Допомога на догляд за дитиною віком до 3 років
90304;Допомога при народженні дитини;;;Допомога при народженні дитини
90305;Допомога на дітей;;;Допомога на дітей, над якими встановлено опіку чи піклування
90306;Допомога на дітей одиноким матерям;;;Допомога на дітей одиноким матерям
90307;Тимчасова державна допомога дітям;;;Тимчасова державна допомога дітям
90308;Допомога при усиновленні дитини;;;Допомога при усиновленні дитини
90401;Допомога малозабезпеченим сім'ям;;;Державна соціальна допомога малозабезпеченим сім'ям
90403;Виплата компенсації реабілітованим;;;Виплата компенсації реабілітованим
90405;Субсидії на оплату комунальних послуг;;;Субсидії населенню для відшкодування витрат на оплату житлово-комунальних послуг
90406;Субсидії придбання палива;;;Субсидії населенню для відшкодування витрат на придбання твердого та рідкого пічного побутового палива і скрапленого газу
90411;Забезпечення вугіллям окремих категорій;;;Кошти на забезпечення побутовим вугіллям окремих категорій населення
90412;Інші видатки на соціальний захист населення;;;Інші видатки на соціальний захист населення
90413;"Допомога для інвалідів I; II груп (психічного розладу)";;;Допомога на догляд за інвалідом I чи II групи внаслідок психічного розладу
90414;Компенсація особам;;;Компенсація особам, які згідно із статтями 43 та 48 Гірничого закону України мають право на безоплатне отримання вугілля на побутові потреби, але проживають у будинках, що мають центральне опалення
90416;Інші видатки для ветеранів війни та праці;;;Інші видатки на соціальний захист ветеранів війни та праці
90417;Витрати на поховання учасників бойових дій;;;Витрати на поховання учасників бойових дій та інвалідів війни
90601;Будинки-інтернати для малолітніх інвалідів;;;Будинки-інтернати для малолітніх інвалідів
90700;Утримання закладів;;;Утримання закладів, що надають соціальні послуги дітям, які опинились в складних життєвих обставинах
90802;Інші програми соціального захисту дітей;;;Інші програми соціального захисту дітей
90901;Пансіонати для літніх людей;;;Будинки-інтернати (пансіонати) для літніх людей та інвалідів системи соціального захисту
90902;Інші будинки-інтернати для літніх людей та інвалідів;;;Інші будинки-інтернати для літніх людей та інвалідів
91101;Утримання центрів соціальних служб для сім'ї;;;Утримання центрів соціальних служб для сім'ї, дітей та молоді
91102;Програми центрів соціальних служб для сім'ї;;;Програми і заходи центрів соціальних служб для сім'ї, дітей та молоді
91103;Соціальні програми у справах молоді;;;Соціальні програми і заходи державних органів у справах молоді
91104;Соціальні програми з питань гендерної рівності;;;Соціальні програми і заходи державних органів з питань забезпечення рівних прав та можливостей жінок і чоловіків
91105;Утримання клубів підлітків за місцем проживання;;;Утримання клубів підлітків за місцем проживання
91106;Інші видатки;;;Інші видатки
91107;Соціальні програми  у справах сім'ї;;;Соціальні програми і заходи державних органів у справах сім'ї
91108;Заходи з оздоровлення та відпочинку дітей;;;Заходи з оздоровлення та відпочинку дітей, крім заходів з оздоровлення дітей, що здійснюються за рахунок коштів на оздоровлення громадян, які постраждали внаслідок Чорнобильської катастрофи
91201;Розселення депортованих осіб;;;Розселення та облаштування депортованих кримських татар та осіб інших національностей, депортованих з України
91203;Навчання та трудове влаштування інвалідів;;;Навчання та трудове влаштування інвалідів
91204;Територіальні центри соціального обслуговування;;;Територіальні центри соціального обслуговування (надання соціальних послуг)
91205;Виплати компенсації фізичним особам;;;Виплати грошової компенсації фізичним особам, які надають соціальні послуги громадянам похилого віку, інвалідам, дітям-інвалідам, хворим, які не здатні до самообслуговування і потребують сторонньої допомоги
91206;Центри соціальної реабілітації дітей - інвалідів;;;"Центри соціальної реабілітації дітей - інвалідів;;;; центри професійної реабілітації інвалідів"
91207;Пільги;;;Пільги, що надаються населенню (крім ветеранів війни і праці, військової служби, органів внутрішніх справ та громадян, які постраждали внаслідок Чорнобильської катастрофи), на оплату житлово-комунальних послуг і природного газу
91209;Фінансова підтримка громадських організацій інвалідів;;;Фінансова підтримка громадських організацій інвалідів і ветеранів
91210;Служби технагляду за будівництвом;;;Служби технічного нагляду за будівництвом та капітальним ремонтом
91211;Централізовані бухгалтерії;;;Централізовані бухгалтерії
91212;Обробка інформації по виплатам компенсацій;;;Обробка інформації з нарахування та виплати допомог і компенсацій
91214;Інші установи та заклади;;;Інші установи та заклади
91300;Державна соціальна допомога дітям-інвалідам;;;Державна соціальна допомога інвалідам з дитинства та дітям-інвалідам
91303;Компенсаційні виплати інвалідам на бензин;;;Компенсаційні виплати інвалідам на бензин, ремонт, техобслуговування автотранспорту та транспортне обслуговування
91304;Встановлення телефонів інвалідам I та II груп;;;Встановлення телефонів інвалідам I та II груп
100000;Житлово-комунальне господарство;;;Житлово-комунальне господарство
100101;Житлово-експлуатаційне господарство;;;Житлово-експлуатаційне господарство
100102;Ремонт приміщень місцевих органів влади;;;Капітальний ремонт житлового фонду місцевих органів влади
100103;Дотація житлово-комунальному господарству;;;Дотація житлово-комунальному господарству
100105;Видатки на об'єкти соцсфери підприємств;;;Видатки на утримання об'єктів соціальної сфери підприємств, що передаються до комунальної власності
100106;Капітальний ремонт житлового фонду ОСББ;;;Капітальний ремонт житлового фонду об'єднань співвласників багатоквартирних будинків
100201;Теплові мережі;;;Теплові мережі
100202;Водопровідно-каналізаційне господарство;;;Водопровідно-каналізаційне господарство
100203;Благоустрій міст;;;Благоустрій міст, сіл, селищ
100205;Газові заводи і газова мережа;;;Газові заводи і газова мережа
100206;Готельне господарство;;;Готельне господарство
100207;Берегоукріплювальні роботи;;;Берегоукріплювальні роботи
100208;Впровадження засобів обліку витрат;;;Видатки на впровадження засобів обліку витрат та регулювання споживання води та теплової енергії
100209;Заходи;;;Заходи, пов'язані з поліпшенням питної води
100301;Збір та вивезення сміття;;;Збір та вивезення сміття і відходів, експлуатація каналізаційних систем
100302;Комбінати комунальних підприємств;;;Комбінати комунальних підприємств, районні виробничі об'єднання та інші підприємства, установи та організації житлово-комунального господарства
100303;Ремонтно-будівельні організації комунального господарства;;;Ремонтно-будівельні організації житлово-комунального господарства
100400;Підприємства і організації побутового обслуговування;;;Підприємства і організації побутового обслуговування, що входять до комунальної власності
100501;Позицію виключено;;;Позицію виключено
100601;Відшкодування різниці тарифу на комунальні послуги;;;Відшкодування різниці між розміром ціни (тарифу) на житлово-комунальні послуги, що затверджувалися або погоджувалися рішенням місцевого органу виконавчої влади та органу місцевого самоврядування, та розміром економічно обгрунтованих витрат на їх виробництво(надання)
100602;Погашення заборгованості (теплову енергію);;;Погашення заборгованості з різниці в тарифах на теплову енергію, що вироблялася, транспортувалася та постачалася населенню, яка виникла в зв'язку з невідповідністю фактичної вартості теплової енергії тарифам, що затверджувалися або погоджувалися відповідними органами державної влади чи органами місцевого самоврядування
110000;Культура і мистецтво;;;Культура і мистецтво
110101;Творчі спілки;;;Творчі спілки
110102;Театри;;;Театри
110103;Філармонії;;;Філармонії, музичні колективи і ансамблі та інші мистецькі заклади та заходи
110104;Видатки на заходи;;;Видатки на заходи, передбачені державними і місцевими програмами розвитку культури і мистецтва
110105;Фінансова підтримка гастрольної діяльності;;;Фінансова підтримка гастрольної діяльності
110201;Бібліотеки;;;Бібліотеки
110202;Музеї і виставки;;;Музеї і виставки
110203;Заповідники;;;Заповідники
110204;Палаци і будинки культури;;;Палаци і будинки культури, клуби та інші заклади клубного типу
110205;Школи естетичного виховання дітей;;;Школи естетичного виховання дітей
110206;Позицію виключено;;;Позицію виключено
110300;Кінематографія;;;Кінематографія
110502;Інші культурно-освітні заклади та заходи;;;Інші культурно-освітні заклади та заходи
120000;Засоби масової інформації;;;Засоби масової інформації
120100;Телебачення і радіомовлення;;;Телебачення і радіомовлення
120201;Періодичні видання (газети та журнали);;;Періодичні видання (газети та журнали)
120300;Книговидання;;;Книговидання
120400;Інші засоби масової інформації;;;Інші засоби масової інформації
130000;Фізична культура і спорт;;;Фізична культура і спорт
130102;Проведення тренувальних зборів і змагань;;;Проведення навчально-тренувальних зборів і змагань
130104;Утримання центрів з інвалідного спорту;;;Видатки на утримання центрів з інвалідного спорту і реабілітаційних шкіл
130105;Проведення змагань з інвалідного спорту;;;Проведення навчально-тренувальних зборів і змагань та заходів з інвалідного спорту
130106;Проведення змагань з неолімпійських видів спорту;;;Проведення навчально-тренувальних зборів і змагань з неолімпійських видів спорту
130107;Утримання дитячо-юнацьких спортивних шкіл;;;Утримання та навчально-тренувальна робота дитячо-юнацьких спортивних шкіл
130110;Фінансова підтримка спортивних споруд;;;Фінансова підтримка спортивних споруд
130112;Інші видатки;;;Інші видатки
130113;Централізовані бухгалтерії;;;Централізовані бухгалтерії
130114;Підготовки спортсменів вищих категорій;;;Забезпечення підготовки спортсменів вищих категорій школами вищої спортивної майстерності
130115;"Центри ""Спорт для всіх""";;;"Центри ""Спорт для всіх"" та заходи з фізичної культури"
130201;Проведення зборів і змагань;;;Проведення навчально-тренувальних зборів і змагань (які проводяться громадськими організаціями фізкультурно-спортивної спрямованості)
130202;Проведення заходів з нетрадиційних видів спорту;;;Проведення заходів з нетрадиційних видів спорту і масових заходів з фізичної культури (які проводяться громадськими організаціями фізкультурно-спортивної спрямованості)
130203;Утримання дитячо-юнацьких спортивних шкіл;;;Утримання та навчально-тренувальна робота дитячо-юнацьких спортивних шкіл (які підпорядковані громадським організаціям фізкультурно-спортивної спрямованості)
130204;Утримання громадських спортивних організацій;;;"Утримання апарату управління громадських фізкультурно-спортивних організацій (ФСТ ""Колос"")"
130205;Фінансова підтримка спортивних споруд;;;Фінансова підтримка спортивних споруд, які належать громадським організаціям фізкультурно-спортивної спрямованості
150000;Будівництво;;;Будівництво
150101;Капітальні вкладення;;;Капітальні вкладення
150104;;;;Виплата компенсації на здешевлення вартості будівництва житла молодіжним житловим комплексам
150107;Забезпечення житлом військовослужбовців;;;Житлове будівництво і придбання житла військовослужбовцям та особам рядового і начальницького складу, звільненим у запас або відставку за станом здоров'я, віком, вислугою років та у зв'язку із скороченням штатів, які перебувають на квартирному обліку за місцем проживання, членам сімей з числа цих осіб, які загинули під час виконання ними службових обов'язків, а також учасникам бойових дій в Афганістані та воєнних конфліктів
150109;Компенсація селянським господарствам на будівництво;;;Компенсація селянським (фермерським) господарствам вартості будівництва об'єктів виробничого і невиробничого призначення
150110;Проведення невідкладних відновлювальних робіт;;;Проведення невідкладних відновлювальних робіт, будівництво та реконструкція загальноосвітніх навчальних закладів
150111;Проведення невідкладних відновлювальних робіт;;;Проведення невідкладних відновлювальних робіт, будівництво та реконструкція спеціалізованих навчальних закладів
150112;Проведення невідкладних відновлювальних робіт;;;Проведення невідкладних відновлювальних робіт, будівництво та реконструкція позашкільних навчальних закладів
150114;Проведення невідкладних відновлювальних робіт;;;Проведення невідкладних відновлювальних робіт, будівництво та реконструкція лікарень загального профілю
150115;Завершення газифікації сільських населених пунктів;;;Завершення проектів газифікації сільських населених пунктів з високим ступенем готовності
150118;Забезпеченння житлом для окремих категорій;;;Житлове будівництво та придбання житла для окремих категорій населення
150119;Проведення невідкладних відновлювальних робіт;;;Проведення невідкладних відновлювальних робіт, будівництво та реконструкція спеціалізованих лікарень та інших спеціалізованих закладів
150120;Будівництво та розвиток мережі метрополітенів;;;Будівництво та розвиток мережі метрополітенів
150121;Заходи з ропередження аварій;;;Заходи з упередження аварій та запобігання техногенних катастроф у житлово-комунальному господарстві та на інших аварійних об'єктах комунальної власності
150122;Інвестиційні проекти;;;Інвестиційні проекти
150201;Збереження;;;Збереження, розвиток, реконструкція та реставрація пам'яток історії та культури
150202;Розробка схем масового застосування;;;Розробка схем та проектних рішень масового застосування
150203;Операційні видатки - паспортизація;;;Операційні видатки - паспортизація, інвентаризація пам'яток архітектури, премії в галузі архітектури
160000;Сільське і лісове господарство;;;Сільське і лісове господарство, рибне господарство та мисливство
160101;Землеустрій;;;Землеустрій
160600;Лісове господарство і мисливство;;;Лісове господарство і мисливство
160903;Програми в галузі сільського господарства;;;Програми в галузі сільського господарства, лісового господарства, рибальства та мисливства
170000;Транспорт;;;Транспорт, дорожнє господарство, зв'язок, телекомунікації та інформатика
170101;Регулювання цін на послуги автотранспорту;;;Регулювання цін на послуги місцевого автотранспорту
170102;Компенсації на пільговий проїзд автомобільним транспортом;;;Компенсаційні виплати на пільговий проїзд автомобільним транспортом окремим категоріям громадян
170103;Інші заходи у сфері автомобільного транспорту;;;Інші заходи у сфері автомобільного транспорту
170202;Севастопольський морський порт;;;Севастопольський морський торговельний порт
170203;Компенсації на пільговий проїзд на водному транспорті;;;Компенсаційні виплати за пільговий проїзд окремих категорій громадян на водному транспорті
170302;Компенсації на пільговий проїзд на залізничному транспорті;;;Компенсаційні виплати за пільговий проїзд окремих категорій громадян на залізничному транспорті
170303;Регулювання цін на послуги метрополітену;;;Регулювання цін на послуги метрополітену
170601;Регулювання цін на міськиц електротранспорт;;;Регулювання цін на послуги міського електротранспорту
170602;Компенсації на пільговий проїзд;;;Компенсаційні виплати на пільговий проїзд електротранспортом окремим категоріям громадян
170603;Інші заходи сфери електротранспорту;;;Інші заходи у сфері електротранспорту
170703;Видатки на проведення робіт;;;Видатки на проведення робіт, пов'язаних із будівництвом, реконструкцією, ремонтом та утриманням автомобільних доріг
170800;Зв'язок;;;Зв'язок
170901;Національна програма інформатизації;;;Національна програма інформатизації
171000;Діяльність і послуги;;;Діяльність і послуги, не віднесені до інших категорій
180000;Інші послуги;;;Інші послуги, пов'язані з економічною діяльністю
180107;Фінансування енергозберігаючих заходів;;;Фінансування енергозберігаючих заходів
180109;Програма стабілізації та соціально-економічного розвитку;;;Програма стабілізації та соціально-економічного розвитку територій
180401;Платежі за кредитними угодами;;;Платежі за кредитними угодами, укладеними під гарантії Уряду
180404;Підтримка малого і середнього підприємництва;;;Підтримка малого і середнього підприємництва
180405;Погашення реструктуризованої заборгованості;;;Видатки на погашення реструктуризованої заборгованості перед комерційними банками та на поповнення їх капіталу
180409;Внески органів влади Автономної Республіки Крим;;;Внески органів влади Автономної Республіки Крим та органів місцевого самоврядування у статутні фонди суб'єктів підприємницької діяльності
180410;Інші заходи;;;Інші заходи, пов'язані з економічною діяльністю
200000;Охорона природи та ядерна безпека;;;Охорона навколишнього природного середовища та ядерна безпека
200100;Раціональне використання водних ресурсів;;;Охорона і раціональне використання водних ресурсів
200200;Раціональне використання земель;;;Охорона і раціональне використання земель
200300;Створення захисних насаджень;;;Створення захисних лісових насаджень та полезахисних лісових смуг
200400;Раціональне використання мінеральних ресурсів;;;Охорона і раціональне використання мінеральних ресурсів
200600;Збереження природно-заповідного фонду;;;Збереження природно-заповідного фонду
200700;Інші природоохоронні заходи;;;Інші природоохоронні заходи
210000;Запобігання та ліквідація надзвичайних ситуацій;;;Запобігання та ліквідація надзвичайних ситуацій та наслідків стихійного лиха
210105;Видатки для запобігання від надзвичайних ситуацій;;;Видатки на запобігання та ліквідацію надзвичайних ситуацій та наслідків стихійного лиха
