Код;Коротка назва;Колір;Іконка;Детальний опис
11020100;Податок на прибуток підприємств і організацій, що перебувають у державній власності;;;Податок на прибуток підприємств і організацій, що перебувають у державній власності
11020200;Податок на прибуток підприємств та фінансових установ комунальної власності;;;Податок на прибуток підприємств та фінансових установ комунальної власності
11020300;Податок на прибуток підприємств, створених за участю іноземних інвесторів;;;Податок на прибуток підприємств, створених за участю іноземних інвесторів
11020400;Податок на прибуток від казино, відеосалонів, гральних автоматів, концертно-видовищних заходів;;;Податок на прибуток від казино, відеосалонів, гральних автоматів, концертно-видовищних заходів
11020500;Податок на прибуток іноземних юридичних осіб;;;Податок на прибуток іноземних юридичних осіб
11020600;Податок на прибуток банківських організацій, включаючи філіали аналогічних організацій, розташованих на території України;;;Податок на прибуток банківських організацій, включаючи філіали аналогічних організацій, розташованих на території України
11020700;Податок на прибуток страхових організацій, включаючи філіали аналогічних організацій, розташованих на території України;;;Податок на прибуток страхових організацій, включаючи філіали аналогічних організацій, розташованих на території України
11020900;Податок на прибуток організацій і підприємств споживчої кооперації, кооперативів та громадських об'єднань;;;Податок на прибуток організацій і підприємств споживчої кооперації, кооперативів та громадських об'єднань
11021000;Податок на прибуток приватних підприємств;;;Податок на прибуток приватних підприємств
11021100;Інші платники податку на прибуток;;;Інші платники податку на прибуток8 до норм амортизації
11021300;Реструктурована сума заборгованості податку на прибуток підприємств і організацій;;;Реструктурована сума заборгованості податку на прибуток підприємств і організацій
11021400;"{Позицію 11021400 виключено на підставі Наказу Міністерства фінансів № 2 від 05.01.2016}	";;;"{Позицію 11021400 виключено на підставі Наказу Міністерства фінансів № 2 від 05.01.2016}	"
11021500;"{Позицію 11021500 виключено на підставі Наказу Міністерства фінансів № 2 від 05.01.2016}	";;;"{Позицію 11021500 виключено на підставі Наказу Міністерства фінансів № 2 від 05.01.2016}	"
11021600;Податок на прибуток фінансових установ, включаючи філіали аналогічних організацій, розташованих на території України, за винятком страхових організацій;;;Податок на прибуток фінансових установ, включаючи філіали аналогічних організацій, розташованих на території України, за винятком страхових організацій
11021900;Надходження від погашення податкового боргу, в тому числі реструктуризованого або розстроченого (відстроченого), з податку на прибуток підприємств (з урахуванням штрафних санкцій, пені та процентів, нарахованих на суму цього боргу), що склався станом на 1 січня 2018 року, який сплачується підприємствами електроенергетичної, нафтогазової, вугільної галузей;;;Надходження від погашення податкового боргу, в тому числі реструктуризованого або розстроченого (відстроченого), з податку на прибуток підприємств (з урахуванням штрафних санкцій, пені та процентів, нарахованих на суму цього боргу), що склався станом на 1 січня 2018 року, який сплачується підприємствами електроенергетичної, нафтогазової, вугільної галузей
11022100;"Податкова заборгованість з податку на прибуток підприємств (крім підприємств комунальної власності), додаткові податкові зобов'язання з цього податку, розстрочені податкові зобов'язання НАК ""Нафтогаз України"" та її підприємств з податку на прибуток (у тому числі відсотки за користування податковим кредитом), що спрямовуються на субвенцію з державного бюджету місцевим бюджетам на надання пільг та житлових субсидій населенню на оплату електроенергії, природного газу, послуг тепло-, водопостачання і водовідведення, квартирної плати, вивезення побутового сміття та рідких нечистот  ";;;"Податкова заборгованість з податку на прибуток підприємств (крім підприємств комунальної власності), додаткові податкові зобов'язання з цього податку, розстрочені податкові зобов'язання НАК ""Нафтогаз України"" та її підприємств з податку на прибуток (у тому числі відсотки за користування податковим кредитом), що спрямовуються на субвенцію з державного бюджету місцевим бюджетам на надання пільг та житлових субсидій населенню на оплату електроенергії, природного газу, послуг тепло-, водопостачання і водовідведення, квартирної плати, вивезення побутового сміття та рідких нечистот  "
11022200;"Надходження від погашення податкового боргу, в тому числі реструктуризованого або розстроченого (відстроченого), з податку на прибуток підприємств, що сплачується підприємствами електроенергетичної, нафтогазової, вугільної галузей, підприємствами, що надають послуги з виробництва, транспортування та постачання теплової енергії, підприємствами централізованого водопостачання та водовідведення, та нараховані суми податку на прибуток таких підприємств, які виникають після проведення розрахунків по субвенції з державного бюджету місцевим бюджетам, визначеній пунктом 16 статті 14 та статтею 32Закону України ""Про Державний бюджет України на 2015 рік";;;"Надходження від погашення податкового боргу, в тому числі реструктуризованого або розстроченого (відстроченого), з податку на прибуток підприємств, що сплачується підприємствами електроенергетичної, нафтогазової, вугільної галузей, підприємствами, що надають послуги з виробництва, транспортування та постачання теплової енергії, підприємствами централізованого водопостачання та водовідведення, та нараховані суми податку на прибуток таких підприємств, які виникають після проведення розрахунків по субвенції з державного бюджету місцевим бюджетам, визначеній пунктом 16 статті 14 та статтею 32Закону України ""Про Державний бюджет України на 2015 рік"
11023100;"{Позицію 11023100 виключено на підставі Наказу Міністерства фінансів № 651 від 20.07.2015}	";;;"{Позицію 11023100 виключено на підставі Наказу Міністерства фінансів № 651 від 20.07.2015}	"
11023200;"{Позицію 11023200 виключено на підставі Наказу Міністерства фінансів № 651 від 20.07.2015}	";;;"{Позицію 11023200 виключено на підставі Наказу Міністерства фінансів № 651 від 20.07.2015}	"
11023300;"{Позицію 11023300 виключено на підставі Наказу Міністерства фінансів № 651 від 20.07.2015}	";;;"{Позицію 11023300 виключено на підставі Наказу Міністерства фінансів № 651 від 20.07.2015}	"
11023400;"{Позицію 11023400 виключено на підставі Наказу Міністерства фінансів № 651 від 20.07.2015}	";;;"{Позицію 11023400 виключено на підставі Наказу Міністерства фінансів № 651 від 20.07.2015}	"
11023500;"{Позицію 11023500 виключено на підставі Наказу Міністерства фінансів № 651 від 20.07.2015}	";;;"{Позицію 11023500 виключено на підставі Наказу Міністерства фінансів № 651 від 20.07.2015}	"
11023600;"{Позицію 11023600 виключено на підставі Наказу Міністерства фінансів № 651 від 20.07.2015}	";;;"{Позицію 11023600 виключено на підставі Наказу Міністерства фінансів № 651 від 20.07.2015}	"
11023700;"{Позицію 11023700 виключено на підставі Наказу Міністерства фінансів № 651 від 20.07.2015}	";;;"{Позицію 11023700 виключено на підставі Наказу Міністерства фінансів № 651 від 20.07.2015}	"
11023900;"{Позицію 11023900 виключено на підставі Наказу Міністерства фінансів № 651 від 20.07.2015}	";;;"{Позицію 11023900 виключено на підставі Наказу Міністерства фінансів № 651 від 20.07.2015}	"
11024000;"{Позицію 11024000 виключено на підставі Наказу Міністерства фінансів № 651 від 20.07.2015}	";;;"{Позицію 11024000 виключено на підставі Наказу Міністерства фінансів № 651 від 20.07.2015}	"
11024100;"{Позицію 11024100 виключено на підставі Наказу Міністерства фінансів № 651 від 20.07.2015}	";;;"{Позицію 11024100 виключено на підставі Наказу Міністерства фінансів № 651 від 20.07.2015}	"
11024600;"{Позицію 11024600 виключено на підставі Наказу Міністерства фінансів № 651 від 20.07.2015}	";;;"{Позицію 11024600 виключено на підставі Наказу Міністерства фінансів № 651 від 20.07.2015}	"
11024700;Податок на дохід, який сплачують суб'єкти, що здійснюють діяльність з випуску та проведення державних лотерей;;;Податок на дохід, який сплачують суб'єкти, що здійснюють діяльність з випуску та проведення державних лотерей
12000000;Податки на власність;;;Податки на власність
12020000;Податок з власників транспортних засобів та інших самохідних машин і механізмів;;;Податок з власників транспортних засобів та інших самохідних машин і механізмів
12020100;Податок з власників наземних транспортних засобів та інших самохідних машин і механізмів (юридичних осіб);;;Податок з власників наземних транспортних засобів та інших самохідних машин і механізмів (юридичних осіб)
12020200;Податок з власників наземних транспортних засобів та інших самохідних машин і механізмів (з громадян);;;Податок з власників наземних транспортних засобів та інших самохідних машин і механізмів (з громадян)
12020300;Надходження сум реструктурованої заборгованості зі сплати податку власниками транспортних засобів та інших самохідних машин і механізмів;;;Надходження сум реструктурованої заборгованості зі сплати податку власниками транспортних засобів та інших самохідних машин і механізмів
12020400;Податок з власників водних транспортних засобів;;;Податок з власників водних транспортних засобів
12020500;Податок з власників наземних транспортних засобів та інших самохідних машин і механізмів (юридичних осіб), зареєстрованих у місті Києві;;;Податок з власників наземних транспортних засобів та інших самохідних машин і механізмів (юридичних осіб), зареєстрованих у місті Києві
12020600;Податок з власників наземних транспортних засобів та інших самохідних машин і механізмів (з громадян), зареєстрованих у місті Києві;;;Податок з власників наземних транспортних засобів та інших самохідних машин і механізмів (з громадян), зареєстрованих у місті Києві
12020700;Надходження сум реструктурованої заборгованості зі сплати податку власниками транспортних засобів та інших самохідних машин і механізмів, зареєстрованих у місті Києві;;;Надходження сум реструктурованої заборгованості зі сплати податку власниками транспортних засобів та інших самохідних машин і механізмів, зареєстрованих у місті Києві
12020800;Податок з власників водних транспортних засобів, зареєстрованих в місті Києві;;;Податок з власників водних транспортних засобів, зареєстрованих в місті Києві
12030000;"{Позицію 12030000 виключено на підставі Наказу Міністерства фінансів № 1290 від 31.12.2014}	";;;"{Позицію 12030000 виключено на підставі Наказу Міністерства фінансів № 1290 від 31.12.2014}	"
12030100;"{Позицію 12030100 виключено на підставі Наказу Міністерства фінансів № 1290 від 31.12.2014}	";;;"{Позицію 12030100 виключено на підставі Наказу Міністерства фінансів № 1290 від 31.12.2014}	"
12030200;"{Позицію 12030200 виключено на підставі Наказу Міністерства фінансів № 1290 від 31.12.2014}	";;;"{Позицію 12030200 виключено на підставі Наказу Міністерства фінансів № 1290 від 31.12.2014}	"
12030300;"{Позицію 12030300 виключено на підставі Наказу Міністерства фінансів № 1290 від 31.12.2014}	";;;"{Позицію 12030300 виключено на підставі Наказу Міністерства фінансів № 1290 від 31.12.2014}	"
12030400;"{Позицію 12030400 виключено на підставі Наказу Міністерства фінансів № 1290 від 31.12.2014}	";;;"{Позицію 12030400 виключено на підставі Наказу Міністерства фінансів № 1290 від 31.12.2014}	"
12030500;"{Позицію 12030000 виключено на підставі Наказу Міністерства фінансів № 1290 від 31.12.2014}	";;;"{Позицію 12030000 виключено на підставі Наказу Міністерства фінансів № 1290 від 31.12.2014}	"
12030600;"{Позицію 12030000 виключено на підставі Наказу Міністерства фінансів № 1290 від 31.12.2014}	";;;"{Позицію 12030000 виключено на підставі Наказу Міністерства фінансів № 1290 від 31.12.2014}	"
12030700;"{Позицію 12030000 виключено на підставі Наказу Міністерства фінансів № 1290 від 31.12.2014}	";;;"{Позицію 12030000 виключено на підставі Наказу Міністерства фінансів № 1290 від 31.12.2014}	"
12030800;"{Позицію 12030000 виключено на підставі Наказу Міністерства фінансів № 1290 від 31.12.2014}	";;;"{Позицію 12030000 виключено на підставі Наказу Міністерства фінансів № 1290 від 31.12.2014}	"
12030900;"{Позицію 12030000 виключено на підставі Наказу Міністерства фінансів № 1290 від 31.12.2014}	";;;"{Позицію 12030000 виключено на підставі Наказу Міністерства фінансів № 1290 від 31.12.2014}	"
12031000;"{Позицію 12030000 виключено на підставі Наказу Міністерства фінансів № 1290 від 31.12.2014}	";;;"{Позицію 12030000 виключено на підставі Наказу Міністерства фінансів № 1290 від 31.12.2014}	"
12031100;"{Позицію 12030000 виключено на підставі Наказу Міністерства фінансів № 1290 від 31.12.2014}	";;;"{Позицію 12030000 виключено на підставі Наказу Міністерства фінансів № 1290 від 31.12.2014}	"
12031200;"{Позицію 12030000 виключено на підставі Наказу Міністерства фінансів № 1290 від 31.12.2014}	";;;"{Позицію 12030000 виключено на підставі Наказу Міністерства фінансів № 1290 від 31.12.2014}	"
13000000;Рентна плата та плата за використання інших природних ресурсів;;;Рентна плата та плата за використання інших природних ресурсів
13010000;Рентна плата за спеціальне використання лісових ресурсів;;;Рентна плата за спеціальне використання лісових ресурсів
13010100;Рентна плата за спеціальне використання лісових ресурсів в частині деревини, заготовленої в порядку рубок головного користування;;;Рентна плата за спеціальне використання лісових ресурсів в частині деревини, заготовленої в порядку рубок головного користування
13010200;Рентна плата за спеціальне використання лісових ресурсів (крім рентної плати за спеціальне використання лісових ресурсів в частині деревини, заготовленої в порядку рубок головного користування);;;Рентна плата за спеціальне використання лісових ресурсів (крім рентної плати за спеціальне використання лісових ресурсів в частині деревини, заготовленої в порядку рубок головного користування)
13010300;Надходження сум реструктурованої заборгованості рентної плати за спеціальне використання лісових ресурсів;;;Надходження сум реструктурованої заборгованості рентної плати за спеціальне використання лісових ресурсів
13020000;Рентна плата за спеціальне використання води;;;Рентна плата за спеціальне використання води
13020100;Рентна плата за спеціальне використання води (крім рентної плати за спеціальне використання води водних об'єктів місцевого значення);;;Рентна плата за спеціальне використання води (крім рентної плати за спеціальне використання води водних об'єктів місцевого значення)
13020200;Рентна плата за спеціальне використання води водних об'єктів місцевого значення;;;Рентна плата за спеціальне використання води водних об'єктів місцевого значення
13020300;Рентна плата за спеціальне використання води для потреб гідроенергетики;;;Рентна плата за спеціальне використання води для потреб гідроенергетики
13020400;Надходження рентної плати за спеціальне використання води від підприємств житлово-комунального господарства;;;Надходження рентної плати за спеціальне використання води від підприємств житлово-комунального господарства
13020500;Надходження сум реструктурованої заборгованості зі сплати рентної плати за спеціальне використання води;;;Надходження сум реструктурованої заборгованості зі сплати рентної плати за спеціальне використання води
13020600;Рентна плата за спеціальне використання води в частині використання поверхневих вод для потреб водного транспорту (крім стоянкових і службово-допоміжного флотів);;;Рентна плата за спеціальне використання води в частині використання поверхневих вод для потреб водного транспорту (крім стоянкових і службово-допоміжного флотів)
13030000;Рентна плата за користування надрами;;;Рентна плата за користування надрами
13030100;Рентна плата за користування надрами для видобування корисних копалин загальнодержавного значення;;;Рентна плата за користування надрами для видобування корисних копалин загальнодержавного значення
13030200;Рентна плата за користування надрами для видобування корисних копалин місцевого значення;;;Рентна плата за користування надрами для видобування корисних копалин місцевого значення
13030400;Рентна плата за користування надрами континентального шельфу і в межах виключної (морської) економічної зони;;;Рентна плата за користування надрами континентального шельфу і в межах виключної (морської) економічної зони
13030500;Надходження сум реструктурованої заборгованості зі сплати рентної плати за користування надрами;;;Надходження сум реструктурованої заборгованості зі сплати рентної плати за користування надрами
13030600;Рентна плата за користування надрами в цілях, не пов'язаних з видобуванням корисних копалин;;;Рентна плата за користування надрами в цілях, не пов'язаних з видобуванням корисних копалин
13030700;Рентна плата за користування надрами для видобування нафти;;;Рентна плата за користування надрами для видобування нафти
13030800;Рентна плата за користування надрами для видобування природного газу;;;Рентна плата за користування надрами для видобування природного газу
13030900;Рентна плата за користування надрами для видобування газового конденсату;;;Рентна плата за користування надрами для видобування газового конденсату
13031000;Рентна плата за користування надрами для видобування бурштину;;;Рентна плата за користування надрами для видобування бурштину
13031100;Рентна плата за користування надрами для видобування нафти, що нарахована до 1 січня 2018 року, погашення податкового боргу та повернення помилково або надміру сплачених сум до 31 грудня 2017 року,;;;Рентна плата за користування надрами для видобування нафти, що нарахована до 1 січня 2018 року, погашення податкового боргу та повернення помилково або надміру сплачених сум до 31 грудня 2017 року,
13031200;Рентна плата за користування надрами для видобування природного газу, що нарахована до 1 січня 2018 року, погашення податкового боргу та повернення помилково або надміру сплачених сум до 31 грудня 2017 року,;;;Рентна плата за користування надрами для видобування природного газу, що нарахована до 1 січня 2018 року, погашення податкового боргу та повернення помилково або надміру сплачених сум до 31 грудня 2017 року,
13031300;Рентна плата за користування надрами для видобування газового конденсату, що нарахована до 1 січня 2018 року, погашення податкового боргу та повернення помилково або надміру сплачених сум до 31 грудня 2017 року,;;;Рентна плата за користування надрами для видобування газового конденсату, що нарахована до 1 січня 2018 року, погашення податкового боргу та повернення помилково або надміру сплачених сум до 31 грудня 2017 року,
13050000;"{Позицію 13050000 виключено на підставі Наказу Міністерства фінансів № 1290 від 31.12.2014}   	";;;"{Позицію 13050000 виключено на підставі Наказу Міністерства фінансів № 1290 від 31.12.2014}   	"
13050100;"{Позицію 13050000 виключено на підставі Наказу Міністерства фінансів № 1290 від 31.12.2014}   	";;;"{Позицію 13050000 виключено на підставі Наказу Міністерства фінансів № 1290 від 31.12.2014}   	"
13050200;"{Позицію 13050000 виключено на підставі Наказу Міністерства фінансів № 1290 від 31.12.2014}   	";;;"{Позицію 13050000 виключено на підставі Наказу Міністерства фінансів № 1290 від 31.12.2014}   	"
13050300;"{Позицію 13050000 виключено на підставі Наказу Міністерства фінансів № 1290 від 31.12.2014}   	";;;"{Позицію 13050000 виключено на підставі Наказу Міністерства фінансів № 1290 від 31.12.2014}   	"
13050400;"{Позицію 13050000 виключено на підставі Наказу Міністерства фінансів № 1290 від 31.12.2014}   	";;;"{Позицію 13050000 виключено на підставі Наказу Міністерства фінансів № 1290 від 31.12.2014}   	"
13050500;"{Позицію 13050000 виключено на підставі Наказу Міністерства фінансів № 1290 від 31.12.2014}   	";;;"{Позицію 13050000 виключено на підставі Наказу Міністерства фінансів № 1290 від 31.12.2014}   	"
13060000;Рентна плата за користування радіочастотним ресурсом України;;;Рентна плата за користування радіочастотним ресурсом України
13070000;Плата за використання інших природних ресурсів;;;Плата за використання інших природних ресурсів
13070100;Плата за спеціальне використання диких тварин;;;Плата за спеціальне використання диких тварин
13070200;Плата за спеціальне використання рибних та інших водних ресурсів;;;Плата за спеціальне використання рибних та інших водних ресурсів
13070300;Надходження сум реструктурованої заборгованості зі сплати платежів за використання інших природних ресурсів;;;Надходження сум реструктурованої заборгованості зі сплати платежів за використання інших природних ресурсів
13080000;Рентна плата за транспортування;;;Рентна плата за транспортування
13080100;Рентна плата за транзитне транспортування трубопроводами природного газу територією України, що нарахована до 1 січня 2016 року;;;Рентна плата за транзитне транспортування трубопроводами природного газу територією України, що нарахована до 1 січня 2016 року
13080200;Рентна плата за транспортування нафти та нафтопродуктів магістральними нафтопроводами та нафтопродуктопроводами територією України;;;Рентна плата за транспортування нафти та нафтопродуктів магістральними нафтопроводами та нафтопродуктопроводами територією України
13080300;Рентна плата за транзитне транспортування трубопроводами аміаку територією України;;;Рентна плата за транзитне транспортування трубопроводами аміаку територією України
14000000;Внутрішні податки на товари та послуги;;;Внутрішні податки на товари та послуги
14010000;"{Позицію 14010000 виключено на підставі Наказу Міністерства фінансів № 2 від 05.01.2016}	";;;"{Позицію 14010000 виключено на підставі Наказу Міністерства фінансів № 2 від 05.01.2016}	"
14010100;"{Позицію 14010000 виключено на підставі Наказу Міністерства фінансів № 2 від 05.01.2016}	";;;"{Позицію 14010000 виключено на підставі Наказу Міністерства фінансів № 2 від 05.01.2016}	"
14010200;"{Позицію 14010000 виключено на підставі Наказу Міністерства фінансів № 2 від 05.01.2016}	";;;"{Позицію 14010000 виключено на підставі Наказу Міністерства фінансів № 2 від 05.01.2016}	"
14010300;"{Позицію 14010000 виключено на підставі Наказу Міністерства фінансів № 2 від 05.01.2016}	";;;"{Позицію 14010000 виключено на підставі Наказу Міністерства фінансів № 2 від 05.01.2016}	"
14010400;"{Позицію 14010000 виключено на підставі Наказу Міністерства фінансів № 2 від 05.01.2016}	";;;"{Позицію 14010000 виключено на підставі Наказу Міністерства фінансів № 2 від 05.01.2016}	"
14010500;"{Позицію 14010000 виключено на підставі Наказу Міністерства фінансів № 2 від 05.01.2016}	";;;"{Позицію 14010000 виключено на підставі Наказу Міністерства фінансів № 2 від 05.01.2016}	"
14010600;"{Позицію 14010000 виключено на підставі Наказу Міністерства фінансів № 2 від 05.01.2016}	";;;"{Позицію 14010000 виключено на підставі Наказу Міністерства фінансів № 2 від 05.01.2016}	"
14010700;"{Позицію 14010000 виключено на підставі Наказу Міністерства фінансів № 2 від 05.01.2016}	";;;"{Позицію 14010000 виключено на підставі Наказу Міністерства фінансів № 2 від 05.01.2016}	"
14010900;"{Позицію 14010000 виключено на підставі Наказу Міністерства фінансів № 2 від 05.01.2016}	";;;"{Позицію 14010000 виключено на підставі Наказу Міністерства фінансів № 2 від 05.01.2016}	"
