Code;Short name;Color;Icon;Details
824;Libraries, Museums & Exhibitions;;fa-child;Libraries, Museums & Exhibitions
824;Position Deleted;;fa-child;Position Deleted
825;Position Deleted;;fa-child;Position Deleted
826;Position Deleted;;fa-child;Position Deleted
827;Reserves;;fa-child;Reserves
828;Clubs;;fa-child;Clubs
829;Other Activities in Culture & Arts, Creative Unions;;fa-child;Other Activities in Culture & Arts, Creative Unions
830;Media;;fa-child;Media
831;Position Deleted;;fa-child;Position Deleted
832;Position Deleted;;fa-child;Position Deleted
833;Position Deleted;;fa-child;Position Deleted
834;Position Deleted;;fa-child;Position Deleted
840;R&D in Spiritual & Physical Development;;fa-child;R&D in Spiritual & Physical Development
850;Other Activities in Spiritual & Physical Development;;fa-child;Other Activities in Spiritual & Physical Development
900;Education;;fa-mortar-board;Education
910;Pre-School Education;;fa-mortar-board;Pre-School Education
920;Secondary Education;;fa-mortar-board;Secondary Education
921;Secondary Schools;;fa-mortar-board;Secondary Schools
922;Secondary Specialized & Special Boarding Schools;;fa-mortar-board;Secondary Specialized & Special Boarding Schools
923;Position Deleted;;fa-mortar-board;Position Deleted
930;Vocational Technical Education;;fa-mortar-board;Vocational Technical Education
940;Higher Education;;fa-mortar-board;Higher Education
941;Higher educational institutions of I & II Levels of Accreditation;;fa-mortar-board;Higher educational institutions of I & II Levels of Accreditation
942;Higher educational institutions of III & IV Levels of Accreditation;;fa-mortar-board;Higher educational institutions of III & IV Levels of Accreditation
950;Postgraduate Education;;fa-mortar-board;Postgraduate Education
960;Non-School & Extra scholastic Education;;fa-mortar-board;Non-School & Extra scholastic Education
970;Educational Institutions Maintenance Programs;;fa-mortar-board;Educational Institutions Maintenance Programs
980;R&D in Education;;fa-mortar-board;R&D in Education
990;Other Institutions in Education;;fa-mortar-board;Other Institutions in Education
1000;Social Protection & Social Security;;fa-users;Social Protection & Social Security
1010;Social Security on Disability;;fa-users;Social Security on Disability
1020;Social Security of Pensioners;;fa-users;Social Security of Pensioners
1030;Social Security of Veterans;;fa-users;Social Security of Veterans
1040;Social Security of Family, Children & Youth;;fa-users;Social Security of Family, Children & Youth
1050;Social Security of Unemployed;;fa-users;Social Security of Unemployed
1060;Housing Aid;;fa-users;Housing Aid
1061;Position Deleted;;fa-users;Position Deleted
1062;Position Deleted;;fa-users;Position Deleted
1070;Social Security of Other Categories;;fa-users;Social Security of Other Categories
1080;R&D in Social Security;;fa-users;R&D in Social Security
1090;Other Activities in Social Security;;fa-users;Other Activities in Social Security
