Код;Коротка назва;Колір;Іконка;Детальний опис
11022200;Надходження від погашення податкового боргу;;;"Надходження від погашення податкового боргу, в тому числі реструктуризованого або розстроченого (відстроченого), з податку на прибуток підприємств, що сплачується підприємствами електроенергетичної, вугільної галузей, підприємствами, що надають послуги з виробництва, транспортування та постачання теплової енергії, підприємствами централізованого водопостачання та водовідведення, та нараховані суми податку на прибуток таких підприємств, які виникають після проведення розрахунків по субвенції з державного бюджету місцевим бюджетам, визначеній пунктом 1 статті 14 Закону України ""Про Державний бюджет України на 2013 рік"""
11023100;Авансові внески (податок на прибуток);;;Авансові внески з податку на прибуток підприємств і організацій, що перебувають у державній власності
11023200;Авансові внески (податок на прибуток комунальна власність);;;Авансові внески з податку на прибуток підприємств та фінансових установ комунальної власності
11023300;Авансові внески (податок на прибуток);;;Авансові внески з податку на прибуток підприємств, створених за участю іноземних інвесторів
11023400;Авансові внески (податок на прибуток казино);;;Авансові внески з податку на прибуток від казино, відеосалонів, гральних автоматів, концертно-видовищних заходів
11023500;Авансові внески (податок на прибуток іноземні організації);;;Авансові внески з податку на прибуток іноземних юридичних осіб
11023600;Авансові внески (податок на прибуток банківські організації);;;Авансові внески з податку на прибуток банківських організацій, включаючи філіали аналогічних організацій, розташованих на території України
11023700;Авансові внески (податок на прибуток страхові організації);;;Авансові внески з податку на прибуток страхових організацій, включаючи філіали аналогічних організацій, розташованих на території України
11023900;Авансові внески з податку на прибуток (кооперативи);;;Авансові внески з податку на прибуток організацій і підприємств споживчої кооперації, кооперативів та громадських об'єднань
11024000;Авансові внески з податку на прибуток;;;Авансові внески з податку на прибуток приватних підприємств
11024100;Авансові внески з податку на прибуток (інші);;;Авансові внески з податку на прибуток від інших платників податку на прибуток
11024600;Авансові внески (податок на прибуток фінансові установи);;;Авансові внески з податку на прибуток фінансових установ, включаючи філіали аналогічних організацій, розташованих на території України, за винятком страхових організацій
12000000;Податки на власністьПодатки на власність 
12020000;Податок з власників транспортних засобів;;;Податок з власників транспортних засобів та інших самохідних машин і механізмів 
12020100;Податок з власників транспортних засобів (юридичні особи)Податок з власників наземних транспортних засобів та інших самохідних машин і механізмів (юридичних осіб) 
12020200;Податок з власників транспортних засобів (громадяни)Податок з власників наземних транспортних засобів та інших самохідних машин і механізмів (з громадян) 
12020300;Реструктуризація заборгованості (податок власників транспорту) ;;;Надходження сум реструктурованої заборгованості зі сплати податку власниками транспортних засобів та інших самохідних машин і механізмів 
12020400;Податок з власників водних транспортних засобівПодаток з власників водних транспортних засобів 
12020500;Податок з власників транспортних засобів (юридичних осіб м. Київ);;;Податок з власників наземних транспортних засобів та інших самохідних машин і механізмів (юридичних осіб), зареєстрованих у місті Києві 
12020600;Податок з власників транспортних засобів (громадяни  м. Київ);;;Податок з власників наземних транспортних засобів та інших самохідних машин і механізмів (з громадян), зареєстрованих у місті Києві 
12020700;Реструктуризація заборгованості (податок власників транспорту  м. Київ) ;;;Надходження сум реструктурованої заборгованості зі сплати податку власниками транспортних засобів та інших самохідних машин і механізмів, зареєстрованих у місті Києві 
12020800;Податок з власників водних транспортних засобів  м. Київ;;;Податок з власників водних транспортних засобів, зареєстрованих в місті Києві 
12030000;Збір перша реєстрація транспортного засобу;;;Збір за першу реєстрацію транспортного засобу
12030100;Збір перша реєстрація транспорту юридичні особи;;;Збір за першу реєстрацію колісних транспортних засобів (юридичних осіб)
12030200;Збір перша реєстрація транспорту фіз. Осіб;;;Збір за першу реєстрацію колісних транспортних засобів (фізичних осіб)
12030300;Збір перша реєстрація суден (юридичних осіб) ;;;Збір за першу реєстрацію суден (юридичних осіб)
12030400;Збір перша реєстрація суден (фіз. осіб) ;;;Збір за першу реєстрацію суден (фізичних осіб)
12030500;Збір зперша реєстрація літаків і вертольотів (юридичні особи) ;;;Збір за першу реєстрацію літаків і вертольотів (юридичних осіб)
12030600;Збір перша реєстрація літаків і вертольотів (фіз. осіб) ;;;Збір за першу реєстрацію літаків і вертольотів (фізичних осіб)
12030700;Збір (перша реєстрація транспорту юридичні особи  м. Київ) ;;;Збір за першу реєстрацію колісних транспортних засобів (юридичних осіб), зареєстрованих у місті Києві 
12030800;Збір (перша реєстрація транспорту фіз. осіб  м. Київ) ;;;Збір за першу реєстрацію колісних транспортних засобів (фізичних осіб), зареєстрованих у місті Києві 
12030900;Збір перша реєстрація суден (юридичних осіб  м. Київ);;;Збір за першу реєстрацію суден (юридичних осіб), зареєстрованих у місті Києві 
12031000;Збір перша реєстрація суден (фіз. Осіб  м. Київ);;;Збір за першу реєстрацію суден (фізичних осіб), зареєстрованих у місті Києві 
12031100;Збір перша реєстрація літаків і вертольотів (юридичних осіб  м. Київ);;;Збір за першу реєстрацію літаків і вертольотів (юридичних осіб), зареєстрованих у місті Києві 
12031200;Збір перша реєстрація літаків і вертольотів (фіз. Осіб  м. Київ);;;Збір за першу реєстрацію літаків і вертольотів (фізичних осіб), зареєстрованих у місті Києві 
13000000;Збори за спеціальне використання природних ресурсів ;;;Збори та плата за спеціальне використання природних ресурсів
13010000;Збір за спеціальне використання лісових ресурсів ;;;Збір за спеціальне використання лісових ресурсів
13010100;Збір за спеціальне використання лісових ресурсів (деревини);;;Збір за спеціальне використання лісових ресурсів в частині деревини, заготовленої в порядку рубок головного користування 
13010200;Збір за спеціальне використання лісових ресурсів (інші);;;Збір за спеціальне використання лісових ресурсів (крім збору за спеціальне використання лісових ресурсів в частині деревини, заготовленої в порядку рубок головного користування) 
13010300;Реструктуризація заборгованості (використання лісових ресурсів) ;;;Надходження сум реструктурованої заборгованості збору за спеціальне використання лісових ресурсів
13020000;Збір за спеціальне використання води ;;;Збір за спеціальне використання води
13020100;Збір за спеціальне використання води (інші) ;;;Збір за спеціальне використання води (крім збору за спеціальне використання води водних об'єктів місцевого значення)
13020200;Збір за спеціальне використання води (об'єкти місцевого значення);;;Збір за спеціальне використання води водних об'єктів місцевого значення
13020300;Збір за спеціальне використання води (гідроенергетика)Збір за спеціальне використання води для потреб гідроенергетики 
13020400;Збір за спеціальне використання води (підприємства ЖКГ);;;Надходження збору за спеціальне використання води від підприємств житлово-комунального господарства
13020500;Реструктуризація заборгованості (спеціальне використання води) ;;;Надходження сум реструктурованої заборгованості зі сплати збору за спеціальне використання води
13020600;Збір спеціальне використання води (водний транспорт);;;Збір за спеціальне використання води в частині використання поверхневих вод для потреб водного транспорту (крім стоянкових і службово-допоміжного флотів)
13030000;Плата за користування надрами;;;Плата за користування надрами
13030100;Плата за видобування копалин державного значення ;;;Плата за користування надрами для видобування корисних копалин загальнодержавного значення
13030200;Плата за видобування копалин місцевого значення ;;;Плата за користування надрами для видобування корисних копалин місцевого значення
13030400;Плата за користування надрами;;;Плата за користування надрами континентального шельфу і в межах виключної (морської) економічної зони 
13030500;Реструктуризація заборгованості за користування надрами ;;;Надходження сум реструктурованої заборгованості зі сплати плати за користування надрами
13030600;Плата за користування надрами (інші цілі);;;Плата за користування надрами в цілях, не пов'язаних з видобуванням корисних копалин  
13030700;Плата за користування надрами (видобування нафти);;;Плата за користування надрами для видобування нафти
13030800;Плата за користування надрами (видобування природного газу);;;Плата за користування надрами для видобування природного газу
13030900;Плата за користування надрами (видобування газового конденсату);;;Плата за користування надрами для видобування газового конденсату
13050000;Плата за землю;;;Плата за землю 
13050100;Земельний податок з юридичних осіб;;;Земельний податок з юридичних осіб 
13050200;Орендна плата з юридичних осіб;;;Орендна плата з юридичних осіб 
13050300;Земельний податок з фіз.осіб;;;Земельний податок з фізичних осіб 
13050400;Реструктурована сума заборгованості плати за землю;;;Реструктурована сума заборгованості плати за землю 
13050500;Орендна плата з фіз.осіб;;;Орендна плата з фізичних осіб 
13070000;Плата за використання інших природних ресурсів;;;Плата за використання інших природних ресурсів 
13070100;Плата за спеціальне використання диких тварин;;;Плата за спеціальне використання диких тварин 
13070200;Плата за спеціальне використання рибних та водних ресурсівПлата за спеціальне використання рибних та інших водних ресурсів 
13070300;Реструктуризація заборгованості (використання інших ресурсів);;;Надходження сум реструктурованої заборгованості зі сплати платежів за використання інших природних ресурсів 
14000000;Внутрішні податки на товари та послуги;;;Внутрішні податки на товари та послуги 
14010000;Податок на додану вартість;;;Податок на додану вартість 
14010100;ПДВ з вироблених в Україні товарів;;;Податок на додану вартість з вироблених в Україні товарів (робіт, послуг) 
14010200;Бюджетне відшкодування ПДВ грошовими коштами ;;;Бюджетне відшкодування податку на додану вартість грошовими коштами
14010300;ПДВ з ввезених на територію України товарів ;;;Податок на додану вартість з ввезених на територію України товарів
14010400;Реструктурована сума заборгованості ПДВ;;;Реструктурована сума заборгованості податку на додану вартість 
14010500;ПДВ із імпортованих на територію України робіт;;;Податок на додану вартість із імпортованих на територію України робіт, послуг 
14010600;Надходження від підприємств ПДВ по операціях;;;Надходження від підприємств податку на додану вартість по операціях, пов'язаних з виконанням інноваційних проектів 
14010700;ПДВ;;;Податок на додану вартість, що сплачується юридичними особами при здійсненні ними операцій з постачання власної виробленої продукції (молока, молочної сировини, молочних продуктів, м'яса, м'ясопродуктів, іншої продукції переробки тварин (шкур, субпродуктів, м'ясо-кісткового борошна), виготовленої з поставлених молока або м'яса в живій вазі сільськогосподарськими підприємствами, іншими юридичними і фізичними особами, у тому числі фізичними особами - підприємцями, які самостійно вирощують, розводять, відгодовують продукцію тваринництва
14010900;Податкова заборгованість з ПДВ («Нафтогаз України»);;;"Податкова заборгованість з податку на додану вартість підприємств, додаткові податкові зобов'язання з цього податку, розстрочені податкові зобов'язання НАК ""Нафтогаз України"" та її підприємств з податку на додану вартість (у тому числі відсотки за користування податковим кредитом), що спрямовуються на розрахунки з погашення заборгованості з різниці в тарифах на теплову енергію, послуги з водопостачання та водовідведення, що вироблялися, транспортувалися та постачалися населенню, яка виникла у зв'язку з невідповідністю фактичної вартості теплової енергії, послуг з водопостачання та водовідведення тарифам, що затверджувалися або погоджувалися відповідними органами державної влади чи органами місцевого самоврядування  "
14011100;Податкова заборгованість з ПДВ («Нафтогаз України»);;;"Податкова заборгованість з податку на додану вартість підприємств, додаткові податкові зобов'язання з цього податку, розстрочені податкові зобов'язання НАК ""Нафтогаз України"" та її підприємств з податку на додану вартість (у тому числі відсотки за користування податковим кредитом), що спрямовуються на субвенцію з державного бюджету місцевим бюджетам на надання пільг та житлових субсидій населенню на оплату електроенергії, природного газу, послуг тепло-, водопостачання і водовідведення, квартирної плати, вивезення побутового сміття та рідких нечистот  "
14020000;Акцизний податок з вироблених в Україні підакцизних товарів (продукції) ;;;Акцизний податок з вироблених в Україні підакцизних товарів (продукції)
14020100;Спирт;;;Спирт 
14020200;Лікеро-горілчана продукція;;;Лікеро-горілчана продукція 
14020300;Виноробна продукція;;;Виноробна продукція 
14020400;Пиво;;;Пиво 
14020600;Тютюн та тютюнові вироби (у твердих сумах) ;;;Тютюн та тютюнові вироби (за ставкою у твердих сумах з одиниці реалізованого товару (продукції)
14020700;Тютюн та тютюнові вироби ( у процентах) ;;;Тютюн та тютюнові вироби за ставкою у процентах до обороту з реалізації товару (продукції)
14020800;Транспорт (крім мотоциклів і велосипедів)Транспортні засоби (крім мотоциклів і велосипедів) 
14020900;Мотоцикли і велосипеди;;;Мотоцикли і велосипеди 
14021000;Кузови для моторного транспорту;;;Кузови для моторних транспортних засобів
14021100;Скраплений газ;;;Скраплений газ
14021200;Операції з відчуження цінних паперів;;;Операції з відчуження цінних паперів та операції з деривативами
14021600;Інші підакцизні вітчизняні товари;;;Інші підакцизні товари вітчизняного виробництва 
14021700;Бензин моторний для автомобілівБензин моторний для автомобілів 
14021800;Інші нафтопродукти;;;Інші нафтопродукти 
14022100;Реструктуризація заборгованості (акцизний податок);;;Надходження сум реструктурованої заборгованості зі сплати акцизного податку з вироблених в Україні підакцизних товарів (продукції)
14030000;Акцизний податок з ввезених на територію України товарів;;;Акцизний податок з ввезених на митну територію України підакцизних товарів (продукції)
14030100;Спирт;;;Спирт 
14030200;Лікеро-горілчана продукція;;;Лікеро-горілчана продукція 
14030300;Виноробна продукція;;;Виноробна продукція 
14030400;Пиво;;;Пиво 
14030600;Тютюнові вироби (за ставкою у твердих сумах) ;;;Тютюн та тютюнові вироби (за ставкою у твердих сумах з одиниці реалізованого товару (продукції)
14030700;Тютюнові вироби (за ставкою у процентах) ;;;Тютюн та тютюнові вироби за ставкою у процентах до обороту з реалізації товару (продукції)
14030800;Транспотр (крім мотоциклів і велосипедів)Транспортні засоби (крім мотоциклів і велосипедів) 
14030900;Мотоцикли і велосипеди;;;Мотоцикли і велосипеди 
14031000;Кузови для моторного транспорту;;;Кузови для моторних транспортних засобів
14031100;Скраплений газ;;;Скраплений газ
14031600;Інші підакцизні товари іноземного виробництваІнші підакцизні товари іноземного виробництва 
14031700;Бензин моторний для автомобілівБензин моторний для автомобілів 
14031800;Інші нафтопродуктиІнші нафтопродукти 
14050000;Податки на окремі категорії послугПодатки на окремі категорії послуг 
15000000;Податки на міжнародну торгівлю та зовнішні операціїПодатки на міжнародну торгівлю та зовнішні операції 
15010000;Ввізне митоВвізне мито 
15010100;"Мито на товари, що ввозяться підприємствами";;;Мито на товари, що ввозяться суб'єктами підприємницької діяльності  
15010200;"Мито на товари, які ввозяться громадянами";;;Мито на товари, які ввозяться (пересилаються) громадянами  
15010300;Інші збори з імпортуІнші збори з імпорту 
15010400;Додатковий митний збір за оформлення нафтопродуктів;;;Додатковий митний збір за митне оформлення нафтопродуктів, що імпортуються на митну територію України  
15010500;"Мито на нафтопродукти, транспортні засоби";;;Мито на нафтопродукти, транспортні засоби та шини до них, що ввозяться суб'єктами підприємницької діяльності та громадянами
15010600;Тимчасова надбавка до ввізного мита на товари;;;Тимчасова надбавка до діючих ставок ввізного мита на товари, що ввозяться суб'єктами підприємницької діяльності 
15010700;Тимчасова надбавка до ввізного мита на товари;;;Тимчасова надбавка до діючих ставок ввізного мита на товари, що ввозяться (пересилаються) громадянами  
15020000;Вивізне митоВивізне мито 
15020100;"Мито на товари, що вивозяться підприємствами";;;Мито на товари, що вивозяться суб'єктами підприємницької діяльності  
15020200;"Мито на товари, які вивозяться громадянами";;;Мито на товари, які вивозяться (пересилаються) громадянами  
15020300;Надходження від реалізації валютних коштів;;;Надходження від реалізації валютних коштів, одержаних у результаті проведення операцій за державним контрактом  
15040000;Інші надходження від зовнішньоекономічної діяльностіІнші надходження від зовнішньоекономічної діяльності 
16000000;Окремі збори (до місцевих бюджетів);;;Окремі податки і збори, що зараховуються до місцевих бюджетів 
16010000;Місцеві податки і збори (до 01.01.2011);;;Місцеві податки і збори, нараховані до 1 січня 2011 року 
16010100;Податок з рекламиПодаток з реклами 
16010200;Комунальний податокКомунальний податок 
16010400;Збір за припаркування автотранспортуЗбір за припаркування автотранспорту 
16010500;Ринковий збірРинковий збір 
16010600;Збір за видачу ордера на квартируЗбір за видачу ордера на квартиру 
16010700;Курортний збір;;;Курортний збір 
16010800;Збір за участь у бігах на іподроміЗбір за участь у бігах на іподромі 
16010900;Збір за виграш у бігах на іподроміЗбір за виграш у бігах на іподромі 
16011000;Збір з осіб (участь у грі на тоталізаторі на іподромі) ;;;Збір з осіб, які беруть участь у грі на тоталізаторі на іподромі  
16011100;Збір за право використання місцевої символікиЗбір за право використання місцевої символіки 
16011200;Збір за право проведення кіно- і телезйомокЗбір за право проведення кіно- і телезйомок 
16011300;Збір за право проведення місцевих аукціонів;;;Збір за право проведення місцевих аукціонів, конкурсного розпродажу і лотерей  
16011500;Збір за видачу дозволу на розміщення об'єктів торгівлі та послугЗбір за видачу дозволу на розміщення об'єктів торгівлі та сфери послуг 
16011600;Збір із власників собак;;;Збір із власників собак 
16011700;Реструктуризація заборгованості зі сплати місцевих податківНадходження сум реструктурованої заборгованості зі сплати місцевих податків 
16011800;Збір на розвиток рекреаційного комплексу в АРК;;;Збір на розвиток рекреаційного комплексу в Автономній Республіці Крим
16011900;Збір на розвиток пасажирського електротранспорту в АРК;;;Збір на розвиток пасажирського електротранспорту в Автономній Республіці Крим
16012100;Податок на промисел;;;Податок на промисел 
17000000;Рентна плата  на паливно-енергетичні ресурси ;;;Рентна плата, збори на паливно-енергетичні ресурси 
17010000;Рентна плата;;;Рентна плата 
17010100;Рентна плата за нафту;;;Рентна плата за нафту, що видобувається в Україні, нарахована до 1 січня 2013 року
17010200;Рентна плата за природний газ;;;Рентна плата за природний газ, що видобувається в Україні, нарахована до 1 січня 2013 року
17010300;Рентна плата за газовий конденсат;;;Рентна плата за газовий конденсат, що видобувається в Україні, нарахована до 1 січня 2013 року
17010400;Реструктуризація заборгованості зі сплати рентної плати за нафту;;;Надходження сум реструктурованої заборгованості зі сплати рентної плати за нафту, що видобувається в Україні  
17010500;Реструктуризація заборгованості зі сплати рентної плати за природний газ;;;Надходження сум реструктурованої заборгованості зі сплати рентної плати за природний газ, що видобувається в Україні  
17010700;Рентна плата за транспортування природного газу;;;Рентна плата за транзитне транспортування трубопроводами природного газу територією України
17010800;Рентна плата за транспортування нафти та нафтопродуктів;;;Рентна плата за транспортування нафти та нафтопродуктів магістральними нафтопроводами та нафтопродуктопроводами територією України
17010900;Рентна плата за транспортування трубопроводами аміаку;;;Рентна плата за транзитне транспортування трубопроводами аміаку територією України
17011200;"Податкова заборгованість за транзитне транспортування (""Нафтогаз України"")";;;"Податкова заборгованість з рентної плати за транзитне транспортування трубопроводами природного газу територією України, розстрочені податкові зобов'язання НАК ""Нафтогаз України"" та її підприємств з цього податку (у тому числі відсотки за користування податковим кредитом), що спрямовуються на розрахунки з погашення заборгованості з різниці в тарифах на теплову енергію, послуги з водопостачання та водовідведення, що вироблялися, транспортувалися та постачалися населенню, яка виникла у зв'язку з невідповідністю фактичної вартості теплової енергії, послуг з водопостачання та водовідведення тарифам, що затверджувалися або погоджувалися відповідними органами державної влади чи органами місцевого самоврядування "
17011500;"Податкова заборгованість за транзитне транспортування (""Нафтогаз України"")";;;"Податкова заборгованість з рентної плати за транзитне транспортування трубопроводами природного газу територією України, розстрочені податкові зобов'язання НАК ""Нафтогаз України"" та її підприємств з цього податку (у тому числі відсотки за користування податковим кредитом), що спрямовуються на субвенцію з державного бюджету місцевим бюджетам на надання пільг та житлових субсидій населенню на оплату електроенергії, природного газу, послуг тепло-, водопостачання і водовідведення, квартирної плати, вивезення побутового сміття та рідких нечистот "
17050000;Збір (цільова надбавка до тарифу на електричну та теплову енергію);;;Збір у вигляді цільової надбавки до діючого тарифу на електричну та теплову енергію, крім електроенергії, виробленої кваліфікованими когенераційними установками 
17060000;Збір (цільова надбавка до тарифу на природний газ);;;Збір у вигляді цільової надбавки до діючого тарифу на природний газ для споживачів усіх форм власності
17070000;"Надходження від Державного підприємства ""Енергоринок""";;;"Надходження нарахованих і не сплачених зобов'язань Державного підприємства ""Енергоринок"" перед державним бюджетом по збору у вигляді цільової надбавки до діючого тарифу на електричну та теплову енергію за минулі роки"
18000000;Місцеві податки і збори;;;Місцеві податки і збори
18010000;Податок на нерухоме майно;;;Податок на нерухоме майно, відмінне від земельної ділянки 
18010100;Податок на нерухоме майно;;;Податок на нерухоме майно, відмінне від земельної ділянки, сплачений юридичними особами 
18010200;Податок на нерухоме майно;;;Податок на нерухоме майно, відмінне від земельної ділянки, сплачений фізичними особами 
18020000;Збір за місця для паркування транспортних засобів ;;;Збір за місця для паркування транспортних засобів
18020100;Збір за паркування (юридичні особи);;;Збір за місця для паркування транспортних засобів, сплачений юридичними особами 
18020200;Збір за паркування (фізичні особи);;;Збір за місця для паркування транспортних засобів, сплачений фізичними особами 
18030000;Туристичний збір;;;Туристичний збір
18030100;Туристичний збір (юридичні особи);;;Туристичний збір, сплачений юридичними особами 
18030200;Туристичний збір (фізичні особи);;;Туристичний збір, сплачений фізичними особами 
18040000;Збір за провадження підприємницької діяльності ;;;Збір за провадження деяких видів підприємницької діяльності
18040100;Збір за роздрібну торгівлю (фізичні особи);;;Збір за провадження торговельної діяльності (роздрібна торгівля), сплачений фізичними особами 
18040200;Збір за роздрібну торгівлю (юридичні особи);;;Збір за провадження торговельної діяльності (роздрібна торгівля), сплачений юридичними особами 
18040300;Збір торгівлю валютними цінностями ;;;Збір за здійснення торгівлі валютними цінностями
18040500;Збір за оптову торгівлю (фізичні особи);;;Збір за провадження торговельної діяльності (оптова торгівля), сплачений фізичними особами 
18040600;Збір за ресторанне господарство (фізичні особи);;;Збір за провадження торговельної діяльності (ресторанне господарство), сплачений фізичними особами 
18040700;Збір за оптову торгівлю (юридичні особи);;;Збір за провадження торговельної діяльності (оптова торгівля), сплачений юридичними особами 
18040800;Збір ресторанне господарство (юридичні особи);;;Збір за провадження торговельної діяльності (ресторанне господарство), сплачений юридичними особами 
18040900;Збір за торговельну діяльність (пільговий торговий патент);;;Збір за провадження торговельної діяльності із придбанням пільгового торгового патенту
18041000;Збір за торговельну діяльність (короткотерміновий торговий патент);;;Збір за провадження торговельної діяльності із придбанням короткотермінового торгового патенту
18041300;Збір за надання платних послуг (фізичні особи);;;Збір за провадження діяльності з надання платних послуг, сплачений фізичними особами 
18041400;Збір за надання платних послуг (юридичні особи);;;Збір за провадження діяльності з надання платних послуг, сплачений юридичними особами 
18041500;Збір за торгівлю нафтопродуктами;;;Збір за провадження торговельної діяльності нафтопродуктами, скрапленим та стиснутим газом на стаціонарних, малогабаритних і пересувних автозаправних станціях, заправних пунктах 
18041600;Реструктуризація заборгованості із сплати збору;;;Надходження сум реструктурованої заборгованості із сплати збору за провадження деяких видів підприємницької діяльності
18041700;Збір за діяльності у сфері розваг (юридичні особи);;;Збір за здійснення діяльності у сфері розваг, сплачений юридичними особами 
18041800;Збір за діяльності у сфері розваг (фізичні особи);;;Збір за здійснення діяльності у сфері розваг, сплачений фізичними особами 
18050000;Єдиний податок;;;Єдиний податок 
18050100;Єдиний податок з юридичних осіб (до 01.01.2011);;;Єдиний податок з юридичних осіб, нарахований до 1 січня 2011 року 
18050200;Єдиний податок з фізичних осіб (до 01.01.2011);;;Єдиний податок з фізичних осіб, нарахований до 1 січня 2011 року 
18050300;Єдиний податок з юридичних осіб;;;Єдиний податок з юридичних осіб
18050400;Єдиний податок з фізичних осіб;;;Єдиний податок з фізичних осіб
19000000;Інші податки та збори;;;Інші податки та збори
19010000;Екологічний податок;;;Екологічний податок
19010100;Надходження від викидів стаціонарними джерелами;;;Надходження від викидів забруднюючих речовин в атмосферне повітря стаціонарними джерелами забруднення
19010200;Надходження від скидів у водні об'єкти ;;;Надходження від скидів забруднюючих речовин безпосередньо у водні об'єкти
19010300;Надходження від розміщення відходів;;;Надходження від розміщення відходів у спеціально відведених для цього місцях чи на об'єктах, крім розміщення окремих видів відходів як вторинної сировини 
19010400;Екологічний податок;;;Екологічний податок, який справляється за утворення радіоактивних відходів (включаючи вже накопичені) та/або тимчасове зберігання радіоактивних відходів їх виробниками понад установлений особливими умовами ліцензій строк 
19010500;Надходження від торгівлі паливом власного виробництва ;;;Надходження від здійснення торгівлі на митній території України паливом власного виробництва та/або виробленим з давальницької сировини податковими агентами
19010600;Надходження від ввезення палива податковими агентами;;;Надходження від ввезення палива на митну територію України податковими агентами
19010700;Екологічний податок (ввезення транспорту);;;Екологічний податок, який справляється при ввезенні на митну територію України транспортних засобів та/або кузовів до них (за винятком кузовів товарної категорії 8707 10 10 згідно з УКТ ЗЕД) в митному режимі імпорту
19010800;Екологічний податок (продаж транспорту);;;Екологічний податок, який справляється при продажу на внутрішньому ринку України транспортних засобів, вироблених (виготовлених) на митній території України
19010900;Екологічний податок (купівля транспорту);;;Екологічний податок, який справляється при придбанні транспортних засобів в осіб, які не є платниками цього податку згідно з Податковим кодексом України
19040000;Фіксований сільськогосподарський податокФіксований сільськогосподарський податок 
19040100;Фіксований сільськогосподарський податок;;;Фіксований сільськогосподарський податок, нарахований після 1 січня 2001 року  
19040200;Фіксований сільськогосподарський податок;;;Фіксований сільськогосподарський податок, нарахований до 1 січня 2001 року  
