Code;Short name;Color;Icon;Details
11023600;Advance contributions from Corporate Income Tax of banking organizations, including branches of similar organizations located on the territory of Ukraine;;;Advance contributions from Corporate Income Tax of banking organizations, including branches of similar organizations located on the territory of Ukraine
11023700;Advance contributions from Corporate Income Tax of insurance companies, including subsidiaries of similar organizations located on the territory of Ukraine;;;Advance contributions from Corporate Income Tax of insurance companies, including subsidiaries of similar organizations located on the territory of Ukraine
11023900;Advance contributions from Corporate Income Tax of organizations and enterprises of consumer cooperatives, cooperatives and associations;;;Advance contributions from Corporate Income Tax of organizations and enterprises of consumer cooperatives, cooperatives and associations
11024000;Advance contributions from Corporate Income Tax of private enterprises;;;Advance contributions from Corporate Income Tax of private enterprises
11024100;Advance contributions from Corporate Income Tax from other taxable income;;;Advance contributions from Corporate Income Tax from other taxable income
11024600;Advance contributions from Corporate Income Tax of financial institutions, including branches of similar organizations located on the territory of Ukraine, except insurance organizations;;;Advance contributions from Corporate Income Tax of financial institutions, including branches of similar organizations located on the territory of Ukraine, except insurance organizations
12000000;Property Taxes;;;Property Taxes
12020000;Tax on owners of vehicle and other self-propelled machinery;;;Tax on owners of vehicle and other self-propelled machinery
12020100;Tax on owners of vehicle and other self-propelled machinery (legal entities);;;Tax on owners of vehicle and other self-propelled machinery (legal entities)
12020200;Tax on owners of vehicle and other self-propelled machinery (of citizens);;;Tax on owners of vehicle and other self-propelled machinery (of citizens)
12020300;Receipts of amounts of restructured debt from income tax paid by the owners of vehicle and other self-propelled machinery;;;Receipts of amounts of restructured debt from income tax paid by the owners of vehicle and other self-propelled machinery
12020400;Tax on owners of water transport;;;Tax on owners of water transport
12020500;Tax on owners of vehicle and other self-propelled machinery (legal entities) registered in Kiev;;;Tax on owners of vehicle and other self-propelled machinery (legal entities) registered in Kiev
12020600;Tax on owners of vehicle and other self-propelled machinery (on citizens), registered in Kiev;;;Tax on owners of vehicle and other self-propelled machinery (on citizens), registered in Kiev
12020700;Receipts of amounts of restructured debt from income tax paid by the owners of vehicle and other self-propelled machinery, registered in Kiev;;;Receipts of amounts of restructured debt from income tax paid by the owners of vehicle and other self-propelled machinery, registered in Kiev
12020800;Tax on owners of water transport, registered in Kiev;;;Tax on owners of water transport, registered in Kiev
12030000;The fee for first vehicle registration;;;The fee for first vehicle registration
12030100;The fee for first registration of wheeled vehicles (legal persons);;;The fee for first registration of wheeled vehicles (legal persons)
12030200;The fee for first registration of wheeled vehicles (individuals);;;The fee for first registration of wheeled vehicles (individuals)
12030300;The fee for first registration of vehicles (legal persons);;;The fee for first registration of vehicles (legal persons)
12030400;The fee for first registration of vehicles (individuals);;;The fee for first registration of vehicles (individuals)
12030500;The fee for first registration of aircraft and helicopters (legal entities);;;The fee for first registration of aircraft and helicopters (legal entities)
12030600;The fee for first registration of aircraft and helicopters (individuals);;;The fee for first registration of aircraft and helicopters (individuals)
12030700;The fee for first registration of wheeled vehicles (legal persons), registered in Kiev;;;The fee for first registration of wheeled vehicles (legal persons), registered in Kiev
12030800;The fee for first registration of wheeled vehicles (individuals), registered in Kiev;;;The fee for first registration of wheeled vehicles (individuals), registered in Kiev
12030900;The fee for first registration of vehicles (legal persons), registered in Kiev;;;The fee for first registration of vehicles (legal persons), registered in Kiev
12031000;The fee for first registration of vehicles (individuals), registered in Kiev;;;The fee for first registration of vehicles (individuals), registered in Kiev
12031100;The fee for first registration of aircraft and helicopters (legal entities), registered in Kiev;;;The fee for first registration of aircraft and helicopters (legal entities), registered in Kiev
12031200;The fee for first registration of aircraft and helicopters (individuals), registered in Kiev;;;The fee for first registration of aircraft and helicopters (individuals), registered in Kiev
13000000;Fees and charges for special use of natural resources;;;Fees and charges for special use of natural resources
13010000;The fee for special use of forest resources;;;The fee for special use of forest resources
13010100;The fee for special use of forest resources in terms of wood, harvested in the order of felling;;;The fee for special use of forest resources in terms of wood, harvested in the order of felling
13010200;The fee for special use of forest resources (except the fee for special use of forest resources in terms of wood, harvested in the order of felling);;;The fee for special use of forest resources (except the fee for special use of forest resources in terms of wood, harvested in the order of felling)
13010300;Receipts of amounts of restructured debt of the fee for special use of forest resources;;;Receipts of amounts of restructured debt of the fee for special use of forest resources
13020000;The fee for special use of water;;;The fee for special use of water
13020100;The fee for special use of water (except the fee for special use of water of water objects of local importance);;;The fee for special use of water (except the fee for special use of water of water objects of local importance)
13020200;The fee for special use of water of water objects of local importance;;;The fee for special use of water of water objects of local importance
13020300;The fee for special use of water for hydropower;;;The fee for special use of water for hydropower
13020400;Receipt of the fee for special use of water from housing enterprises;;;Receipt of the fee for special use of water from housing enterprises
13020500;Receipts of amounts of restructured debt from the payment of the fee for special use of water;;;Receipts of amounts of restructured debt from the payment of the fee for special use of water
13020600;The fee for special use of water in terms of the use of surface water for the needs of water transportation (except for parking and auxiliary fleet);;;The fee for special use of water in terms of the use of surface water for the needs of water transportation (except for parking and auxiliary fleet)
13030000;The fee for use of mineral resources;;;The fee for use of mineral resources
13030100;The fee for use of mineral resources for mining of national importance;;;The fee for use of mineral resources for mining of national importance
13030200;The fee for use of mineral resources for mining of local importance;;;The fee for use of mineral resources for mining of local importance
13030400;The fee for use of the continental shelf and within the exclusive (maritime) economic zone;;;The fee for use of the continental shelf and within the exclusive (maritime) economic zone
13030500;Receipts of amounts of restructured debt from payments for use of mineral resources;;;Receipts of amounts of restructured debt from payments for use of mineral resources
13030600;The fee for use of mineral resources for the purposes not related to mining;;;The fee for use of mineral resources for the purposes not related to mining
13030700;The fee for use of oil;;;The fee for use of oil
13030800;The fee for use of natural gas extraction;;;The fee for use of natural gas extraction
13030900;The fee for use for the extraction of gas condensate;;;The fee for use for the extraction of gas condensate
13050000;Land fee;;;Land fee
13050100;Land fee from legal entities;;;Land fee from legal entities
13050200;Rental fee from legal entities;;;Rental fee from legal entities
13050300;Land tax on individuals;;;Land tax on individuals
13050400;Restructured arrears of payment for land;;;Restructured arrears of payment for land
13050500;Rental fee on individuals;;;Rental fee on individuals
13070000;The fee for use of other natural resources;;;The fee for use of other natural resources
13070100;The fee for special use of wild animals;;;The fee for special use of wild animals
13070200;The fee for special use of fish and other water resources;;;The fee for special use of fish and other water resources
13070300;Receipts of amounts of restructured debt from payments for use of other natural resources;;;Receipts of amounts of restructured debt from payments for use of other natural resources
14000000;Domestic taxes on goods and services;;;Domestic taxes on goods and services
14010000;Value Added Tax;;;Value Added Tax
14010100;Value Added Tax on goods made in Ukraine (works, services);;;Value Added Tax on goods made in Ukraine (works, services)
14010200;Budget refund of Value Added Tax in cash;;;Budget refund of Value Added Tax in cash
14010300;Value Added Tax on imported goods to Ukraine;;;Value Added Tax on imported goods to Ukraine
14010400;Restructured arrears of Value Added Tax;;;Restructured arrears of Value Added Tax
14010500;Value Added Tax from works, services, imported into the territory of Ukraine;;;Value Added Tax from works, services, imported into the territory of Ukraine
14010600;Revenues of Value Added Tax from enterprises on transactions related to the implementation of innovative projects;;;Revenues of Value Added Tax from enterprises on transactions related to the implementation of innovative projects
14010700;Value Added Tax paid by legal entities in carrying out operations to supply their own products (milk, raw milk, dairy products, meat, meat products and other animal products processing (skins, offal, meat and bone meal), made from milk or meat in live weight by agricultural enterprises and other entities and individuals, including individuals - entrepreneurs, self-grown, bred, fed animal products;;;Value Added Tax paid by legal entities in carrying out operations to supply their own products (milk, raw milk, dairy products, meat, meat products and other animal products processing (skins, offal, meat and bone meal), made from milk or meat in live weight by agricultural enterprises and other entities and individuals, including individuals - entrepreneurs, self-grown, bred, fed animal products
14010900;"Tax arrears of Value Added Tax businesses, additional tax liability for this tax, deferred tax liabilities of NJSC ""Naftogaz of Ukraine"" and its enterprises with Value Added Tax (including interest on the tax credit) allocated for debt payments to the difference in tariffs for thermal energy, water supply and sanitation that are produced, transported and supplied to the population, which arose due to the mismatch of the actual cost of thermal energy, water supply services and sewerage tariffs approved or agreed by relevant state authorities or local governments ";;;"Tax arrears of Value Added Tax businesses, additional tax liability for this tax, deferred tax liabilities of NJSC ""Naftogaz of Ukraine"" and its enterprises with Value Added Tax (including interest on the tax credit) allocated for debt payments to the difference in tariffs for thermal energy, water supply and sanitation that are produced, transported and supplied to the population, which arose due to the mismatch of the actual cost of thermal energy, water supply services and sewerage tariffs approved or agreed by relevant state authorities or local governments "
14011100;"Tax arrears of Value Added Tax businesses, additional tax liability for this tax, deferred tax liabilities of NJSC ""Naftogaz of Ukraine"" and its enterprises with Value Added Tax (including interest on the tax credit) allocated to subvention from the state budget to local budgets for provision of benefits and housing subsidies for electricity, natural gas, heat, water and sanitation, rent, removal of household waste and liquid sewage ";;;"Tax arrears of Value Added Tax businesses, additional tax liability for this tax, deferred tax liabilities of NJSC ""Naftogaz of Ukraine"" and its enterprises with Value Added Tax (including interest on the tax credit) allocated to subvention from the state budget to local budgets for provision of benefits and housing subsidies for electricity, natural gas, heat, water and sanitation, rent, removal of household waste and liquid sewage "
14020000;Excise tax on excisable goods (products) manufactured in Ukraine;;;Excise tax on excisable goods (products) manufactured in Ukraine
14020100;Alcohol;;;Alcohol
14020200;Alcoholic beverages;;;Alcoholic beverages
14020300;Wine products;;;Wine products
14020400;Beer;;;Beer
14020600;Tobacco and tobacco products at a rate in lump sum per unit sold goods (products);;;Tobacco and tobacco products at a rate in lump sum per unit sold goods (products)
14020700;Tobacco and tobacco products at a rate as a percentage of the turnover of goods (products);;;Tobacco and tobacco products at a rate as a percentage of the turnover of goods (products)
14020800;Vehicles (except motorcycles and bicycles);;;Vehicles (except motorcycles and bicycles)
14020900;Motorcycles and bikes;;;Motorcycles and bikes
14021000;Bodies for motor vehicles;;;Bodies for motor vehicles
14021100;Liquefied gas;;;Liquefied gas
14021200;Real alienation of securities and derivatives transactions;;;Real alienation of securities and derivatives transactions
14021600;Other excise goods domestic production;;;Other excise goods domestic production
14021700;Petrol engine for cars;;;Petrol engine for cars
14021800;Other petroleum products;;;Other petroleum products
14022100;Receipts of amounts of restructured debt of excise tax on excisable goods (products) made in Ukraine;;;Receipts of amounts of restructured debt of excise tax on excisable goods (products) made in Ukraine
14030000;Excise tax imported to Ukraine excisable goods (products);;;Excise tax imported to Ukraine excisable goods (products)
14030100;Alcohol;;;Alcohol
14030200;Alcoholic beverages;;;Alcoholic beverages
14030300;Wine products;;;Wine products
14030400;Beer;;;Beer
14030600;Tobacco and tobacco products (at a rate in lump sum per unit sold goods (products));;;Tobacco and tobacco products (at a rate in lump sum per unit sold goods (products))
14030700;Tobacco and tobacco products at a rate as a percentage of the turnover of goods (products);;;Tobacco and tobacco products at a rate as a percentage of the turnover of goods (products)
14030800;Vehicles (except motorcycles and bicycles);;;Vehicles (except motorcycles and bicycles)
14030900;Motorcycles and bikes;;;Motorcycles and bikes
14031000;Bodies for motor vehicles;;;Bodies for motor vehicles
14031100;Liquefied gas;;;Liquefied gas
14031600;Other foreign excisable goods;;;Other foreign excisable goods
14031700;Petrol engine for cars;;;Petrol engine for cars
14031800;Other petroleum products;;;Other petroleum products
14050000;Taxes on specific service categories;;;Taxes on specific service categories
15000000;Taxes on international trade and external transactions;;;Taxes on international trade and external transactions
15010000;Import duties;;;Import duties
15010100;Customs duties on goods imported by business entities;;;Customs duties on goods imported by business entities
15010200;Customs duties on goods imported (sent) by citizens;;;Customs duties on goods imported (sent) by citizens
15010300;Other charges on imports;;;Other charges on imports
15010400;Additional customs duty for customs clearance petroleum products imported into the customs territory of Ukraine;;;Additional customs duty for customs clearance petroleum products imported into the customs territory of Ukraine
15010500;Customs duty on petroleum products, vehicles and tires for them, which are imported by business entities and citizens;;;Customs duty on petroleum products, vehicles and tires for them, which are imported by business entities and citizens
15010600;Temporary surcharge to existing rates of import duties on goods imported by business entities;;;Temporary surcharge to existing rates of import duties on goods imported by business entities
15010700;Temporary surcharge to existing rates of import duties on goods imported (sent) by citizens;;;Temporary surcharge to existing rates of import duties on goods imported (sent) by citizens
15020000;Export duties;;;Export duties
15020100;Duties on goods exported entrepreneurs;;;Duties on goods exported entrepreneurs
15020200;Duties on goods that are exported (sent) by citizens;;;Duties on goods that are exported (sent) by citizens
15020300;Receipts from the sale of foreign exchange funds, obtained in the transaction under the state contract;;;Receipts from the sale of foreign exchange funds, obtained in the transaction under the state contract
15040000;;;;
16000000;Specific taxes and fees transferred to the local budget;;;Specific taxes and fees transferred to the local budget
16010000;Local taxes and fees charged to January 1, 2011;;;Local taxes and fees charged to January 1, 2011
16010100;Advertisement tax ;;;Advertisement tax 
16010200;Municipal tax;;;Municipal tax
16010400;Parking fee;;;Parking fee
16010500;Market fee;;;Market fee
16010600;The fee for issuing a warrant for the apartment;;;The fee for issuing a warrant for the apartment
16010700;Resort fee;;;Resort fee
16010800;The fee for participation in the races at the racetrack;;;The fee for participation in the races at the racetrack
16010900;The fee for winning on the racetrack;;;The fee for winning on the racetrack
16011000;The fee from individuals who participate in the game for betting at the racetrack;;;The fee from individuals who participate in the game for betting at the racetrack
16011100;The fee for the use of local symbols;;;The fee for the use of local symbols
16011200;The fee for the right of movies and TV filming;;;The fee for the right of movies and TV filming
16011300;The fee to host local auctions, competitive sale and lotteries;;;The fee to host local auctions, competitive sale and lotteries
16011500;The fee for a permit for placing objects of trade and services;;;The fee for a permit for placing objects of trade and services
16011600;The fee from dog owners;;;The fee from dog owners
16011700;Receipts of amount of restructured debt of the payment of local taxes;;;Receipts of amount of restructured debt of the payment of local taxes
16011800;The fee on the development of a recreational complex in the Autonomous Republic of Crimea;;;The fee on the development of a recreational complex in the Autonomous Republic of Crimea
16011900;The fee on the development of passenger electric transport in the Autonomous Republic of Crimea ;;;The fee on the development of passenger electric transport in the Autonomous Republic of Crimea 
16012100;Tax fishing;;;Tax fishing
17000000;Rental fee, charges for fuel and energy resources;;;Rental fee, charges for fuel and energy resources
17010000;Rental fee;;;Rental fee
17010100;Rental fee for oil produced in Ukraine accrued to January 1, 2013;;;Rental fee for oil produced in Ukraine accrued to January 1, 2013
17010200;Rental fee for natural gas produced in Ukraine accrued to January 1, 2013;;;Rental fee for natural gas produced in Ukraine accrued to January 1, 2013
17010300;Rental fee for gas condensate produced in Ukraine accrued to January 1, 2013;;;Rental fee for gas condensate produced in Ukraine accrued to January 1, 2013
17010400;Receipts of amounts of restructured debt of rental fee for oil extracted in Ukraine;;;Receipts of amounts of restructured debt of rental fee for oil extracted in Ukraine
17010500;Receipts of amounts of restructured debt of rental fee for natural gas produced in Ukraine;;;Receipts of amounts of restructured debt of rental fee for natural gas produced in Ukraine
17010700;Rental fee for the transit of natural gas through pipelines of Ukraine;;;Rental fee for the transit of natural gas through pipelines of Ukraine
17010800;Rental fee for transporting oil and petroleum products through trunk pipelines and oil pipelines of Ukraine;;;Rental fee for transporting oil and petroleum products through trunk pipelines and oil pipelines of Ukraine
17010900;Rental fee for ammonia transit through pipelines of Ukraine;;;Rental fee for ammonia transit through pipelines of Ukraine
17011200;"Tax arrears of rental fee for the transit pipeline transportation of natural gas through Ukraine, deferred tax liabilities of NJSC ""Naftogaz of Ukraine"" and its enterprises from this tax (including interest on the tax credit) allocated for payments to repayment of the difference in tariffs for thermal energy, the water supply and sanitation that are produced, transported and supplied to the population, which arose due to the mismatch of the actual cost of thermal energy, water supply services and sewerage tariffs that were approved or agreed by the relevant authorities of state or local government ";;;"Tax arrears of rental fee for the transit pipeline transportation of natural gas through Ukraine, deferred tax liabilities of NJSC ""Naftogaz of Ukraine"" and its enterprises from this tax (including interest on the tax credit) allocated for payments to repayment of the difference in tariffs for thermal energy, the water supply and sanitation that are produced, transported and supplied to the population, which arose due to the mismatch of the actual cost of thermal energy, water supply services and sewerage tariffs that were approved or agreed by the relevant authorities of state or local government "
17011500;"Tax arrears of rental fee for the transit pipeline transportation of natural gas through Ukraine, deferred tax liabilities of NJSC ""Naftogaz of Ukraine"" and its enterprises from this tax (including interest on the tax credit), which are directed to the subvention from state budget to local budgets for provision of benefits and housing subsidies for electricity, natural gas, heat, water and sanitation, rent, removal of household waste and liquid sewage ";;;"Tax arrears of rental fee for the transit pipeline transportation of natural gas through Ukraine, deferred tax liabilities of NJSC ""Naftogaz of Ukraine"" and its enterprises from this tax (including interest on the tax credit), which are directed to the subvention from state budget to local budgets for provision of benefits and housing subsidies for electricity, natural gas, heat, water and sanitation, rent, removal of household waste and liquid sewage "
17050000;The fee as a surcharge to the current tariff for electricity and thermal energy, except electricity generated by qualified CHP units;;;The fee as a surcharge to the current tariff for electricity and thermal energy, except electricity generated by qualified CHP units
17060000;The fee as a surcharge to the tariff on natural gas for consumers of all forms of ownership;;;The fee as a surcharge to the tariff on natural gas for consumers of all forms of ownership
17070000;"Receipts accrued and unpaid obligations of the State Enterprise ""Energy Market"" to the state budget by the fee as a surcharge to the tariff on electricity and heat over the years";;;"Receipts accrued and unpaid obligations of the State Enterprise ""Energy Market"" to the state budget by the fee as a surcharge to the tariff on electricity and heat over the years"
18000000;Local taxes and fees;;;Local taxes and fees
18010000;Tax on immovable property, other than land;;;Tax on immovable property, other than land
18010100;Tax on immovable property, other than land paid by legal entities;;;Tax on immovable property, other than land paid by legal entities
18010200;Tax on immovable property, other than land paid by individuals;;;Tax on immovable property, other than land paid by individuals
18020000;The fee for parking vehicles;;;The fee for parking vehicles
18020100;The fee for parking vehicles, paid by legal entities;;;The fee for parking vehicles, paid by legal entities
18020200;The fee for parking vehicles, paid by individuals;;;The fee for parking vehicles, paid by individuals
18030000;Tourist tax;;;Tourist tax
18030100;Tourism fee, paid by legal entities;;;Tourism fee, paid by legal entities
18030200;Tourist tax, paid by individuals;;;Tourist tax, paid by individuals
18040000;The fee for certain types of business;;;The fee for certain types of business
18040100;The fee for conducting trading activities (retail), paid by individuals;;;The fee for conducting trading activities (retail), paid by individuals
18040200;The fee for conducting trading activities (retail), paid by legal entities;;;The fee for conducting trading activities (retail), paid by legal entities
18040300;The fee for conducting trading of currency values;;;The fee for conducting trading of currency values
18040500;The fee for conducting trading activities (wholesale,) paid by individuals;;;The fee for conducting trading activities (wholesale,) paid by individuals
18040600;The fee for conducting trading activities (restaurant management), paid by individuals;;;The fee for conducting trading activities (restaurant management), paid by individuals
18040700;The fee for conducting trading activities (wholesale), paid by legal entities;;;The fee for conducting trading activities (wholesale), paid by legal entities
18040800;The fee for conducting trading activities (restaurant management), paid by legal entities;;;The fee for conducting trading activities (restaurant management), paid by legal entities
18040900;The fee for conducting trading activities with the acquisition of preferential trade patent;;;The fee for conducting trading activities with the acquisition of preferential trade patent
18041000;The fee for conducting trading activities with the acquisition of short-term trade patent;;;The fee for conducting trading activities with the acquisition of short-term trade patent
18041300;The fee for providing paid services, paid by individuals;;;The fee for providing paid services, paid by individuals
18041400;The fee for providing paid services, paid by legal entities;;;The fee for providing paid services, paid by legal entities
18041500;The fee for conducting trading activities in petroleum products, liquefied and compressed gas to residential, small and mobile gas stations, refueling points;;;The fee for conducting trading activities in petroleum products, liquefied and compressed gas to residential, small and mobile gas stations, refueling points
18041600;Receipts of amounts of restructured debt of fee payment for certain types of business;;;Receipts of amounts of restructured debt of fee payment for certain types of business
18041700;The fee for activities in the field of entertainment, paid by legal entities;;;The fee for activities in the field of entertainment, paid by legal entities
18041800;The fee for activities in the field of entertainment, paid by individuals;;;The fee for activities in the field of entertainment, paid by individuals
18050000;Single tax;;;Single tax
18050100;Single tax from legal entities accrued to January 1, 2011;;;Single tax from legal entities accrued to January 1, 2011
18050200;Single tax on individuals, accrued to January 1, 2011;;;Single tax on individuals, accrued to January 1, 2011
18050300;Single tax for legal entities;;;Single tax for legal entities
18050400;Single tax on individuals;;;Single tax on individuals
19000000;Other taxes and fees;;;Other taxes and fees
19010000;Environmental tax;;;Environmental tax
19010100;Revenues from pollutants emissions into the atmosphere from stationary sources of pollution;;;Revenues from pollutants emissions into the atmosphere from stationary sources of pollution
19010200;Revenues from direct discharge of pollutants into water;;;Revenues from direct discharge of pollutants into water
19010300;Revenues from disposal of waste in specially designated areas or at sites, except of placing certain types of waste as secondary raw materials;;;Revenues from disposal of waste in specially designated areas or at sites, except of placing certain types of waste as secondary raw materials
19010400;Environmental tax levied on the generation of radioactive waste (including already accrued) and / or temporary storage of radioactive waste by the producers in excess of established special conditions of license, period;;;Environmental tax levied on the generation of radioactive waste (including already accrued) and / or temporary storage of radioactive waste by the producers in excess of established special conditions of license, period
19010500;Revenues from the exercise of trade of fuel of own production within the customs territory of Ukraine and / or produced from raw materials by tax agents;;;Revenues from the exercise of trade of fuel of own production within the customs territory of Ukraine and / or produced from raw materials by tax agents
19010600;Revenues from fuel importation into the customs territory of Ukraine by tax agents;;;Revenues from fuel importation into the customs territory of Ukraine by tax agents
19010700;Environmental tax levied on importation of vehicles and / or bodies for them (except for bodies of product category 8707 10 10 according to UCG FEA (Ukrainian Classification of Goods of Foreign Economic Activity)) into the customs territory of Ukraine in the customs regime of import;;;Environmental tax levied on importation of vehicles and / or bodies for them (except for bodies of product category 8707 10 10 according to UCG FEA (Ukrainian Classification of Goods of Foreign Economic Activity)) into the customs territory of Ukraine in the customs regime of import
19010800;Environmental tax levied on the sale on the domestic market of Ukraine vehicles produced (made) on the customs territory of Ukraine;;;Environmental tax levied on the sale on the domestic market of Ukraine vehicles produced (made) on the customs territory of Ukraine
19010900;Environmental tax levied on the acquisition of vehicles from people who do not pay the tax under the Tax Code of Ukraine;;;Environmental tax levied on the acquisition of vehicles from people who do not pay the tax under the Tax Code of Ukraine
19040000;;;;
19040100;Fixed agricultural tax, accrued after January 1, 2001;;;Fixed agricultural tax, accrued after January 1, 2001
19040200;Fixed agricultural tax, accrued to January 1, 2001;;;Fixed agricultural tax, accrued to January 1, 2001
19040300;Receipts of amounts of restructured debt from payment of a fixed agricultural tax;;;Receipts of amounts of restructured debt from payment of a fixed agricultural tax
19050000;The fee for environmental pollution;;;The fee for environmental pollution
19050100;Receipts of the fee from the power companies to the State Fund for Environmental Protection;;;Receipts of the fee from the power companies to the State Fund for Environmental Protection
19050200;Other fees for environmental pollution to the Fund for Environmental Protection;;;Other fees for environmental pollution to the Fund for Environmental Protection
19050300;Receipts of the fee for the pollution of the environment paid by individuals;;;Receipts of the fee for the pollution of the environment paid by individuals
19060000;The fee on the development of viticulture, horticulture and hop;;;The fee on the development of viticulture, horticulture and hop
19060100;The fee on the development of viticulture, horticulture and hop;;;The fee on the development of viticulture, horticulture and hop
