Код;Коротка назва;Колір;Іконка;Детальний опис
1140;Підвищення кваліфікації, перепідготовка кадрів закладами післядипломної освіти
1150;Методичне забезпечення діяльності навчальних закладів
1160;Інші програми, заклади та заходи у сфері освіти
1161;Забезпечення діяльності інших закладів у сфері освіти
1162;Інші програми та заходи у сфері освіти
2000;Охорона здоров’я
2010;Багатопрофільна стаціонарна медична допомога населенню
2020;Спеціалізована стаціонарна медична допомога населенню
2030;Лікарсько-акушерська допомога вагітним, породіллям та новонародженим
2040;Санаторно-курортна допомога населенню
2050;Медико-соціальний захист дітей-сиріт і дітей, позбавлених батьківського піклування
2060;Створення банків крові та її компонентів
2070;Екстрена та швидка медична допомога населенню
2080;Амбулаторно-поліклінічна допомога населенню, крім первинної медичної допомоги
2090;Спеціалізована амбулаторно-поліклінічна допомога населенню
2100;Стоматологічна допомога населенню
2110;Первинна медична допомога населенню
2111;Первинна медична допомога населенню, що надається центрами первинної медичної (медико-санітарної) допомоги
2112;Первинна медична допомога населенню, що надається фельдшерськими, фельдшерсько-акушерськими пунктами
2113;Первинна медична допомога населенню, що надається амбулаторно-поліклінічними закладами (відділеннями)
2120;Інформаційно-методичне та просвітницьке забезпечення в галузі охорони здоров'я
2130;Проведення належної медико-соціальної експертизи (МСЕК)
2140;Програми і централізовані заходи у галузі охорони здоров’я
2141;Програми і централізовані заходи з імунопрофілактики
2142;Програми і централізовані заходи боротьби з туберкульозом
2143;Програми і централізовані заходи профілактики ВІЛ-інфекції/СНІДу
2144;Централізовані заходи з лікування хворих на цукровий та нецукровий діабет
2145;Централізовані заходи з лікування онкологічних хворих
2146;Відшкодування вартості лікарських засобів для лікування окремих захворювань
2150;Інші програми, заклади та заходи у сфері охорони здоров’я
2151;Забезпечення діяльності інших закладів у сфері охорони здоров’я
2152;Інші програми та заходи у сфері охорони здоров’я
3000;Соціальний захист та соціальне забезпечення
3010;Надання пільг та житлових субсидій населенню на оплату електроенергії, природного газу, послуг тепло-, водопостачання і водовідведення, квартирної плати, вивезення побутового сміття та рідких нечистот
3011;Надання пільг на оплату житлово-комунальних послуг окремим категоріям громадян відповідно до законодавства
3012;Надання субсидій населенню для відшкодування витрат на оплату житлово-комунальних послуг
3020;Надання пільг та субсидій населенню на придбання твердого та рідкого пічного побутового палива і скрапленого газу
3021;Надання пільг на придбання твердого та рідкого пічного побутового палива і скрапленого газу окремим категоріям громадян відповідно до законодавства
3022;Надання субсидій населенню для відшкодування витрат на придбання твердого та рідкого пічного побутового палива і скрапленого газу
3023;Забезпечення побутовим вугіллям окремих категорій громадян
3030;Надання пільг з оплати послуг зв’язку, інших передбачених законодавством пільг окремим категоріям громадян та компенсації за пільговий проїзд окремих категорій громадян
3031;Надання інших пільг окремим категоріям громадян відповідно до законодавства
3032;Надання пільг окремим категоріям громадян з оплати послуг зв'язку
3033;Компенсаційні виплати на пільговий проїзд автомобільним транспортом окремим категоріям громадян
3034;Компенсаційні виплати за пільговий проїзд окремих категорій громадян на водному транспорті
3035;Компенсаційні виплати за пільговий проїзд окремих категорій громадян на залізничному транспорті
3036;Компенсаційні виплати на пільговий проїзд електротранспортом окремим категоріям громадян
3040;Надання допомоги сім'ям з дітьми, малозабезпеченим сім’ям, тимчасової допомоги дітям
3041;Надання допомоги у зв'язку з вагітністю і пологами
3042;Надання допомоги при усиновленні дитини
3043;Надання допомоги при народженні дитини
3044;Надання допомоги на дітей, над якими встановлено опіку чи піклування
3045;Надання допомоги на дітей одиноким матерям
3046;Надання тимчасової державної допомоги дітям
3047;Надання державної соціальної допомоги малозабезпеченим сім’ям
3050;Пільгове медичне обслуговування осіб, які постраждали внаслідок Чорнобильської катастрофи
3060;Оздоровлення громадян, які постраждали внаслідок Чорнобильської катастрофи
3070;Виплата компенсації реабілітованим
3080;Надання допомоги особам з інвалідністю, дітям з інвалідністю, особам, які не мають права на пенсію, непрацюючій особі, яка досягла загального пенсійного віку, але не набула права на пенсійну виплату, допомоги по догляду за особами з інвалідністю І чи ІІ групи внаслідок психічного розладу, компенсаційної виплати непрацюючій працездатній особі, яка доглядає за особою з інвалідністю І групи, а також за особою, яка досягла 80-річного віку
3081;Надання державної соціальної допомоги особам з інвалідністю з дитинства та дітям з інвалідністю
3082;Надання державної соціальної допомоги особам,  які не  мають права на пенсію, та особам з інвалідністю, державної соціальної допомоги на догляд
3083;Надання допомоги по догляду за особами з інвалідністю I чи II групи внаслідок психічного розладу
3084;Надання тимчасової державної соціальної допомоги непрацюючій особі, яка досягла загального пенсійного віку, але не набула права на пенсійну виплату
3085;Надання щомісячної компенсаційної виплати непрацюючій працездатній особі, яка доглядає за особою з інвалідністю I групи, а також за особою, яка досягла 80-річного віку
3090;Видатки на поховання учасників бойових дій та осіб з інвалідністю внаслідок війни
3100;Надання соціальних та реабілітаційних послуг громадянам похилого віку, особам з інвалідністю, дітям з інвалідністю в установах соціального обслуговування
3101;Забезпечення соціальними послугами стаціонарного догляду з наданням місця для проживання дітей з вадами фізичного та розумового розвитку
3102;Забезпечення соціальними послугами стаціонарного догляду з наданням місця для проживання, всебічної підтримки, захисту та безпеки осіб, які не можуть вести самостійний спосіб життя через похилий вік, фізичні та розумові вади, психічні захворювання або інші хвороби
3103;Навчання та трудове влаштування осіб з інвалідністю
3104;Забезпечення соціальними послугами за місцем проживання громадян, які не здатні до самообслуговування у зв'язку з похилим віком, хворобою, інвалідністю
3105;Надання реабілітаційних послуг особам з інвалідністю та дітям з інвалідністю
3110;Заклади і заходи з питань дітей та їх соціального захисту
3111;Утримання закладів, що надають соціальні послуги дітям, які опинились у складних життєвих обставинах
3112;Заходи державної політики з питань дітей та їх соціального захисту
3120;Здійснення соціальної роботи з вразливими категоріями населення
3121;Утримання та забезпечення діяльності центрів соціальних служб для сім’ї, дітей та молоді
3122;Заходи державної політики із забезпечення рівних прав та можливостей жінок та чоловіків
3123;Заходи державної політики з питань сім'ї
3130;Реалізація державної політики у молодіжній сфері
3131;Здійснення заходів та реалізація проектів на виконання Державної цільової соціальної програми «Молодь України»
3132;Утримання клубів для підлітків за місцем проживання
3133;Інші заходи та заклади молодіжної політики
3140;Оздоровлення та відпочинок дітей (крім заходів з оздоровлення дітей, що здійснюються за рахунок коштів на оздоровлення громадян, які постраждали внаслідок Чорнобильської катастрофи)
3150;Розселення та облаштування депортованих кримських татар та осіб інших національностей, депортованих з України
3160;Надання соціальних гарантій фізичним особам, які надають соціальні послуги громадянам похилого віку, особам з інвалідністю, дітям з інвалідністю, хворим, які не здатні до самообслуговування і потребують сторонньої допомоги
3170;Забезпечення реалізації окремих програм для осіб з інвалідністю
3171;Компенсаційні виплати особам з інвалідністю на бензин, ремонт, технічне обслуговування автомобілів, мотоколясок і на транспортне обслуговування
3172;Встановлення телефонів особам з інвалідністю I і II груп
3180;Надання пільг населенню (крім ветеранів війни і праці, військової служби, органів внутрішніх справ та громадян, які постраждали внаслідок Чорнобильської катастрофи) на оплату житлово-комунальних послуг
3190;Соціальний захист ветеранів війни та праці
3191;Інші видатки на соціальний захист ветеранів війни та праці
3192;Надання фінансової підтримки громадським організаціям ветеранів і осіб з інвалідністю, діяльність яких має соціальну спрямованість
3200;Забезпечення обробки інформації з нарахування та виплати допомог і компенсацій
3210;Організація та проведення громадських робіт
3220;Грошова компенсація за належні для отримання жилі приміщення для окремих категорій населення відповідно до законодавства
3221;Грошова компенсація за належні для отримання жилі приміщення для сімей загиблих осіб, визначених абзацами 5-8 пункту 1 статті 10 Закону України «Про статус ветеранів війни, гарантії їх соціального захисту», для осіб з інвалідністю І-ІІ групи, яка настала внаслідок поранення, контузії, каліцтва або захворювання, одержаних під час безпосередньої участі в антитерористичній операції, забезпеченні її проведення, визначених пунктами 11-14 частини другої статті 7 Закону України «Про статус ветеранів війни, гарантії їх соціального захисту», та які потребують поліпшення житлових умов
3222;"Грошова компенсація за належні для отримання жилі приміщення для внутрішньо переміщених осіб, які захищали незалежність, суверенітет та територіальну цілісність України і брали безпосередню участь в антитерористичній операції, забезпеченні її проведення, перебуваючи безпосередньо в районах антитерористичної операції у період її проведення, та визнані особами з інвалідністю в наслідок війни ІІІ групи відповідно до пунктів 11-14 частини другої статті 7 або учасниками бойових дій відповідно до пунктів 19-20 частини першої статті 6 Закону України «Про статус ветеранів війни, гарантії їх соціального захисту"", та які потребують поліпшення житлових умов"
3223;"Грошова компенсація за належні для отримання жилі приміщення для сімей загиблих учасників бойових дій на території інших держав, визначених у абзаці першому пункту 1 статті 10 Закону України «Про статус ветеранів війни, гарантії їх соціального захисту», для осіб з інвалідністю І-ІІ групи з числа учасників бойових дій на території інших держав, які стали інвалідами внаслідок поранення, контузії, каліцтва або захворювання, пов’язаних з перебуванням у цих державах, визначених пунктом 7 частини другої статті 7 Закону України «Про статус ветеранів війни, гарантії їх соціального захисту"", та які потребують поліпшення житлових умов"
3230;"Виплата державної соціальної допомоги на дітей-сиріт та дітей, позбавлених батьківського піклування, у дитячих будинках сімейного типу та прийомних сім'ях, грошового забезпечення батькам-вихователям і прийомним батькам за надання соціальних послуг у дитячих будинках сімейного типу та прийомних сім'ях за принципом ""гроші ходять за дитиною"" та оплату послуг із здійснення патронату над дитиною та виплата соціальної допомоги на утримання дитини в сім’ї патронатного вихователя"
3240;Інші заклади та заходи
3241;Забезпечення діяльності інших закладів у сфері соціального захисту і соціального забезпечення
3242;Інші заходи у сфері соціального захисту і соціального забезпечення
4000;Культура i мистецтво
4010;Фінансова підтримка театрів
4020;Фінансова підтримка фiлармонiй, художніх і музичних колективів, ансамблів, концертних та циркових організацій
4030;Забезпечення діяльності бібліотек
4040;Забезпечення діяльності музеїв i виставок
4050;Забезпечення діяльності заповідників
4060;Забезпечення діяльності палаців i будинків культури, клубів, центрів дозвілля та iнших клубних закладів
4070;Фінансова підтримка кінематографії
4080;Інші заклади та заходи в галузі культури і мистецтва
4081;Забезпечення діяльності інших закладів в галузі культури і мистецтва
4082;Інші заходи в галузі культури і мистецтва
5000;Фiзична культура i спорт
5010;Проведення спортивної роботи в регіоні
5011;Проведення навчально-тренувальних зборів і змагань з олімпійських видів спорту
5012;Проведення навчально-тренувальних зборів і змагань з неолімпійських видів спорту
5020;Здійснення фізкультурно-спортивної та реабілітаційної роботи серед осіб з інвалідністю
5021;Утримання центрів фізичної культури і спорту осіб з інвалідністю і реабілітаційних шкіл
5022;Проведення навчально-тренувальних зборів і змагань та заходів зі спорту осіб з інвалідністю
5030;Розвиток дитячо-юнацького та резервного спорту
5031;Утримання та навчально-тренувальна робота комунальних дитячо-юнацьких спортивних шкіл
5032;Фінансова підтримка дитячо-юнацьких спортивних шкіл фізкультурно-спортивних товариств
5033;Забезпечення підготовки спортсменів школами вищої спортивної майстерності
5040;Підтримка і розвиток спортивної інфраструктури
5041;Утримання та фінансова підтримка спортивних споруд
5042;Фінансова підтримка спортивних споруд, які належать громадським організаціям фізкультурно-спортивної спрямованості
5043;Розвиток палаців спорту
5044;Створення сучасного біатлонного комплексу
5050;Підтримка фізкультурно-спортивного руху
5051;Фінансова підтримка регіональних всеукраїнських організацій фізкультурно-спортивної спрямованості для проведення навчально-тренувальної та спортивної роботи
5052;Фінансова підтримка регіональних осередків всеукраїнських організацій фізкультурно-спортивної спрямованості у здійсненні фізкультурно-масових заходів серед населення регіону
5053;Фінансова підтримка на утримання місцевих осередків (рад) всеукраїнських організацій фізкультурно-спортивної спрямованості
5060;Інші заходи з розвитку фізичної культури та спорту
5061;"Забезпечення діяльності місцевих центрів фізичного здоров'я населення ""Спорт для всіх"" та проведення фізкультурно-масових заходів серед населення регіону"
5062;Підтримка спорту вищих досягнень та організацій, які здійснюють фізкультурно-спортивну діяльність в регіоні
5063;Забезпечення діяльності централізованої бухгалтерії
6000;Житлово-комунальне господарство
6010;Утримання та ефективна експлуатація об’єктів житлово-комунального господарства
6011;Експлуатація та технічне обслуговування житлового фонду
6012;Забезпечення діяльності з виробництва, транспортування, постачання теплової енергії
6013;Забезпечення діяльності водопровідно-каналізаційного господарства
6014;Забезпечення збору та вивезення сміття і відходів
6015;Забезпечення надійної та безперебійної експлуатації ліфтів
6016;Впровадження засобів обліку витрат та регулювання споживання води та теплової енергії
6017;Інша діяльність, пов’язана з експлуатацією об’єктів житлово-комунального господарства
6020;Забезпечення функціонування підприємств, установ та організацій, що виробляють, виконують та/або надають житлово-комунальні послуги
6030;Організація благоустрою населених пунктів
6040;Заходи, пов’язані з поліпшенням питної води
6050;Попередження аварій та запобігання техногенним катастрофам у житлово-комунальному господарстві та на інших аварійних об’єктах комунальної власності
6060;Утримання об'єктів соціальної сфери підприємств, що передаються до комунальної власності
6070;Регулювання цін/тарифів на житлово-комунальні послуги
6071;Відшкодування різниці між розміром ціни (тарифу) на житлово-комунальні послуги, що затверджувалися або погоджувалися рішенням місцевого органу виконавчої влади та органу місцевого самоврядування, та розміром економічно обґрунтованих витрат на їх виробництво (надання)
6072;Погашення різниці між фактичною вартістю теплової енергії, послуг з централізованого опалення, постачання гарячої води, централізованого водопостачання та водовідведення, постачання холодної води та водовідведення (з використанням внутрішньобудинкових систем), що вироблялися, транспортувалися та постачалися населенню та/або іншим підприємствам теплопостачання, централізованого питного водопостачання та водовідведення, які надають населенню такі послуги, та тарифами, що затверджувалися та/або погоджувалися органами державної влади чи місцевого самоврядування за рахунок субвенції з державного бюджету
6080;Реалізація державних та місцевих житлових програм
6081;Будівництво житла для окремих категорій населення відповідно до законодавства
6082;Придбання житла для окремих категорій населення відповідно до законодавства
6083;Проектні, будівельно-ремонтні роботи, придбання житла та приміщень для розвитку сімейних та інших форм виховання, наближених до сімейних, та забезпечення житлом дітей-сиріт, осіб з їх числа
6084;Витрати, пов’язані з наданням та обслуговуванням пільгових довгострокових кредитів, наданих громадянам на будівництво/реконструкцію/придбання житла
6085;Здешевлення вартості іпотечних кредитів для забезпечення доступним житлом громадян, які потребують поліпшення житлових умов
6086;Інша діяльність щодо забезпечення житлом громадян
6090;Інша діяльність у сфері житлово-комунального господарства
7000;Економічна діяльність
7100;Сільське, лісове, рибне господарство та мисливство
7110;Реалізація програм в галузі сільського господарства
7120;Забезпечення діяльності ветеринарних лікарень та ветеринарних лабораторій
7130;Здійснення  заходів із землеустрою
7140;Інші заходи у сфері сільського господарства
7150;Реалізація програм у галузі лісового господарства і мисливства
7160;Реалізація програм в галузі рибного господарства
7200;Газове господарство
7210;Організація експлуатації  газового господарства
7220;Газифікація населених пунктів
7300;Будівництво та регіональний розвиток
7310;Будівництво1 об'єктів житлово-комунального господарства
7320;Будівництво1 об'єктів соціально-культурного призначення
7321;Будівництво1 освітніх установ та закладів
7322;Будівництво1 медичних установ та закладів
7323;Будівництво1 установ та закладів соціальної сфери
7324;Будівництво1 установ та закладів культури
7325;Будівництво1 споруд, установ та закладів фізичної культури і спорту
7330;Будівництво1 інших об'єктів соціальної та виробничої інфраструктури комунальної власності
7340;Проектування, реставрація та охорона пам'яток архітектури
7350;Розроблення схем планування та забудови територій (містобудівної документації)
7360;Виконання інвестиційних проектів
7361;Співфінансування інвестиційних проектів, що реалізуються за рахунок коштів державного фонду регіонального розвитку
7362;Виконання інвестиційних проектів в рамках формування інфраструктури об'єднаних територіальних громад
7363;Виконання інвестиційних проектів в рамках здійснення заходів щодо соціально-економічного розвитку окремих територій
7364;Виконання інвестиційних проектів в рамках фінансування заходів соціально-економічної компенсації ризику населення, яке проживає на території зони спостереження
7365;"Виконання інвестиційних проектів в рамках реформування регіональних систем охорони здоров’я для здійснення  заходів з виконання спільного з Міжнародним банком реконструкції та розвитку проекту ""Поліпшення охорони здоров'я на службі у людей"""
7366;Реалізація проектів в рамках Надзвичайної кредитної програми для відновлення України
7367;Виконання інвестиційних проектів в рамках реалізації заходів, спрямованих на розвиток системи охорони здоров'я у сільській місцевості
7368;Виконання інвестиційних проектів за рахунок субвенцій з інших бюджетів
7370;Реалізація інших заходів щодо соціально-економічного розвитку територій
7400;Транспорт та транспортна інфраструктура, дорожнє господарство
7410;Забезпечення надання послуг з перевезення пасажирів автомобільним транспортом
7411;Утримання та розвиток автотранспорту
7412;Регулювання цін на послуги місцевого автотранспорту
7413;Інші заходи у сфері автотранспорту
7420;Забезпечення надання послуг з перевезення пасажирів електротранспортом
7421;Утримання та розвиток наземного електротранспорту
7422;Регулювання цін на послуги місцевого наземного електротранспорту
7423;Утримання та розвиток метрополітену
7424;Регулювання цін на послуги метрополітену
7425;Розвиток мережі метрополітенів за рахунок коштів, які надаються з  державного бюджету
7426;Інші заходи у сфері електротранспорту
7430;Утримання та розвиток місцевих аеропортів
7440;Утримання та розвиток транспортної інфраструктури
7441;Утримання та розвиток мостів/шляхопроводів
7442;Утримання та розвиток інших об’єктів транспортної інфраструктури
7450;Інша діяльність у сфері транспорту
7460;Утримання та розвиток автомобільних доріг та дорожньої інфраструктури
7461;Утримання та розвиток автомобільних доріг та дорожньої інфраструктури за рахунок коштів місцевого бюджету
7462;Утримання та розвиток автомобільних доріг та дорожньої інфраструктури за рахунок субвенції з  державного бюджету
7463;Утримання та розвиток автомобільних доріг та дорожньої інфраструктури за рахунок трансфертів з інших місцевих бюджетів
7464;Здійснення заходів в рамках проведення експерименту з розвитку автомобільних доріг загального користування в усіх областях та м. Києві, а також дорожньої інфраструктури у м. Києві
7470;Інша діяльність у сфері дорожнього господарства
7500;Зв'язок, телекомунікації та інформатика
7510;Реалізація програм у сфері зв'язку
7520;Реалізація Національної програми інформатизації
7530;Інші заходи у сфері зв'язку, телекомунікації та інформатики
7600;Інші програми та заходи, пов'язані з економічною діяльністю
7610;Сприяння розвитку малого та середнього підприємництва
7620;Розвиток готельного господарства та туризму
7621;Підтримка діяльності готельного господарства
7622;Реалізація програм і заходів в галузі туризму та курортів
7630;Реалізація програм і заходів в галузі зовнішньоекономічної діяльності
7640;Заходи з енергозбереження
7650;Проведення експертної  грошової  оцінки  земельної ділянки чи права на неї
7660;Підготовка земельних ділянок несільськогосподарського призначення або прав на них комунальної власності для продажу на земельних торгах та проведення таких торгів
7670;Внески до статутного капіталу суб’єктів господарювання
7680;Членські внески до асоціацій органів місцевого самоврядування
7690;Інша економічна діяльність
7691;Виконання заходів за рахунок цільових фондів, утворених Верховною Радою Автономної Республіки Крим, органами місцевого самоврядування і місцевими органами виконавчої влади і фондів, утворених Верховною Радою Автономної Республіки Крим, органами місцевого самоврядування і місцевими органами виконавчої влади
7692;Обслуговування та погашення зобов'язань за коштами, залученими розпорядниками бюджетних коштів під державні гарантії для здійснення капітальних видатків
7693;Інші заходи, пов'язані з економічною діяльністю
7700;Реалізація програм допомоги і грантів Європейського Союзу, урядів іноземних держав, міжнародних організацій, донорських установ
8000;Інша діяльність
8100;Захист населення і територій від надзвичайних ситуацій техногенного та природного характеру
8110;Заходи із запобігання та ліквідації надзвичайних ситуацій та наслідків стихійного лиха
8120;Заходи з організації рятування на водах
8130;Забезпечення діяльності місцевої пожежної охорони
8200;Громадський порядок та безпека
8210;Муніципальні формування з охорони громадського порядку
8220;Заходи та роботи з мобілізаційної підготовки місцевого значення
8230;Інші заходи громадського порядку та безпеки
8300;Охорона навколишнього природного середовища
8310;Запобігання та ліквідація забруднення навколишнього природного середовища
8311;Охорона та раціональне використання природних ресурсів
8312;Утилізація відходів
8313;Ліквідація іншого забруднення навколишнього природного середовища
8320;Збереження природно-заповідного фонду
8330;Інша діяльність у сфері екології та охорони природних ресурсів
8340;Природоохоронні заходи за рахунок цільових фондів
8400;Засоби масової інформації
8410;Фінансова підтримка засобів масової інформації
8420;Інші заходи у сфері засобів масової інформації
8500;Нерозподілені трансферти з державного бюджету
8600;Обслуговування місцевого боргу
8700;Резервний фонд
8800;Кредитування
8810;Довгострокові кредити для здобуття вищої освіти та їх повернення
8811;Надання кредиту
8812;Повернення кредиту
8820;Пільгові довгострокові кредити молодим сім’ям та одиноким молодим громадянам на будівництво/придбання житла  та їх повернення
8821;Надання кредиту
8822;Повернення кредиту
8830;Довгострокові кредити індивідуальним забудовникам житла на селі  та їх повернення
8831;Надання кредиту
8832;Повернення кредиту
8840;Довгострокові кредити громадянам на будівництво / реконструкцію / придбання житла та їх повернення
8841;Надання кредиту
8842;Повернення кредиту
8850;Пільгові кредити членам житлово-будівельних кооперативів та їх повернення
8851;Надання кредиту
8852;Повернення кредиту
8860;Бюджетні позички  суб'єктам господарювання  та їх повернення
8861;Надання позичок
8862;Повернення позичок
8870;Кредити (позики), що залучаються органами місцевого самоврядування, від міжнародних фінансових організацій для реалізації інвестиційних програм (проектів) та їх повернення
8871;Отримання кредитів (позик)
8872;Повернення кредитів (позик)
8880;Виконання Автономною Республікою Крим чи територіальною громадою міста, об’єднаною територіальною громадою гарантійних зобов'язань за позичальників, що отримали кредити під місцеві гарантії
8881;Забезпечення гарантійних зобов'язань за позичальників, що отримали кредити під місцеві гарантії
8882;Повернення коштів, наданих для виконання гарантійних зобов'язань за позичальників, що отримали кредити під місцеві гарантії
8900;Залишки коштів та бюджетна заборгованість розпорядників коштів місцевих бюджетів
8910;Бюджетна заборгованість розпорядників коштів місцевих бюджетів Автономної Республіки Крим та міста Севастополя
8920;Залишки коштів та бюджетна заборгованість розпорядників коштів місцевих бюджетів Донецької та Луганської областей, на території яких органи влади тимчасово не здійснюють своїх повноважень
9000;Міжбюджетні трансферти
9100;Дотації з місцевого бюджету іншим бюджетам
9110;Реверсна дотація 
9120;Дотація з місцевого бюджету за рахунок стабілізаційної дотації з державного бюджету
9130;Дотація з місцевого бюджету на здійснення переданих з державного бюджету видатків з утримання закладів освіти та охорони здоров'я за рахунок відповідної додаткової дотації з державного бюджету
9140;Дотація з місцевого бюджету на компенсацію втрат доходів місцевих бюджетів внаслідок наданих державою податкових пільг зі сплати земельного податку суб'єктам космічної діяльності та літакобудування за рахунок відповідної додаткової дотації з державного бюджету
9150;Інші дотації з місцевого бюджету
9200;Субвенції з місцевого бюджету іншим місцевим бюджетам на здійснення програм соціального захисту за рахунок субвенцій з державного бюджету
9210;Субвенція з місцевого бюджету на надання пільг та житлових субсидій населенню на оплату електроенергії, природного газу, послуг тепло-, водопостачання і водовідведення, квартирної плати (утримання будинків і споруд та прибудинкових територій), управління багатоквартирним будинком, вивезення побутового сміття та рідких нечистот за рахунок відповідної субвенції з державного бюджету
9220;Субвенція з місцевого бюджету на надання пільг та житлових субсидій населенню на придбання твердого та рідкого пічного побутового палива і скрапленого газу за рахунок відповідної субвенції з державного бюджету
9230;Субвенція з місцевого бюджету на виплату допомоги сім'ям з дітьми, малозабезпеченим сім'ям, особам, які не мають права на пенсію, особам з інвалідністю, дітям з інвалідністю, тимчасової державної допомоги дітям, тимчасової державної соціальної допомоги непрацюючій особі, яка досягла загального пенсійного віку, але не набула права на пенсійну виплату, допомоги по догляду за особами з інвалідністю I чи II групи внаслідок психічного розладу, компенсаційної виплати непрацюючій працездатній особі, яка доглядає за особою з інвалідністю І групи, а також за особою, яка досягла 80-річного віку за рахунок відповідної субвенції з державного бюджету 
9240;Субвенції з місцевих бюджетів іншим місцевим бюджетам на виплату грошової компенсації за належні для отримання жилі приміщення для окремих категорій населення за рахунок відповідних субвенцій з державного бюджету
9241;Субвенція з місцевого бюджету на виплату грошової компенсації за належні для отримання жилі приміщення для сімей загиблих осіб, визначених абзацами 5-8 пункту 1 статті 10 Закону України «Про статус ветеранів війни, гарантії їх соціального захисту», для осіб з інвалідністю І-ІІ групи, яка настала внаслідок поранення, контузії, каліцтва або захворювання, одержаних під час безпосередньої участі в антитерористичній операції, забезпеченні її проведення, визначених пунктами 11-14 частини другої статті 7 Закону України «Про статус ветеранів війни, гарантії їх соціального захисту», та які потребують поліпшення житлових умов за рахунок відповідної субвенції з державного бюджету
9242;"Субвенція з місцевого бюджету на виплату грошової компенсації за належні для отримання жилі приміщення для внутрішньо переміщених осіб, які захищали незалежність, суверенітет та територіальну цілісність України і брали безпосередню участь в антитерористичній операції, забезпеченні її проведення, перебуваючи безпосередньо в районах антитерористичної операції у період її проведення, та визнані особами з інвалідністю внаслідок війни ІІІ групи відповідно до пунктів 11-14 частини другої статті 7 або учасниками бойових дій відповідно до пунктів 19-20 частини першої статті 6 Закону України «Про статус ветеранів війни, гарантії їх соціального захисту"", та які потребують поліпшення житлових умов за рахунок відповідної субвенції з державного бюджету"
9243;"Субвенція з місцевого бюджету на виплату грошової компенсації за належні для отримання жилі приміщення для сімей загиблих учасників бойових дій на території інших держав, визначених у абзаці першому пункту 1 статті 10 Закону України «Про статус ветеранів війни, гарантії їх соціального захисту», для осіб з інвалідністю І-ІІ групи з числа учасників бойових дій на території інших держав, які стали інвалідами внаслідок поранення, контузії, каліцтва або захворювання, пов’язаних з перебуванням у цих державах, визначених пунктом 7 частини другої статті 7 Закону України «Про статус ветеранів війни, гарантії їх соціального захисту"", та які потребують поліпшення житлових умов за рахунок відповідної субвенції з державного бюджету"
